window,plant,execution_mode,step,history_before,replay_calls,stage,category,exclusive_seconds,inclusive_seconds_diagnostic_only,calls
brusselator_0001_0020,brusselator,reference,1,0,8,other_solve,python_objects_and_small_tensor_validation,0.019931736402213573,0.019931736402213573,624
brusselator_0001_0020,brusselator,reference,1,0,8,candidate,python_objects_and_small_tensor_validation,0.01138496957719326,0.01138496957719326,614
brusselator_0001_0020,brusselator,reference,1,0,8,candidate,polynomial_multiply_truncate_range,0.17722947988659143,0.1773728560656309,108
brusselator_0001_0020,brusselator,reference,1,0,8,candidate,candidate_polynomial,0.016618847381323576,0.20523329684510827,1
brusselator_0001_0020,brusselator,reference,1,0,8,other_solve,polynomial_multiply_truncate_range,0.09245703974738717,0.09253066219389439,58
brusselator_0001_0020,brusselator,reference,1,0,8,other_solve,initial_remainder,0.006009788252413273,0.07358105480670929,1
brusselator_0001_0020,brusselator,reference,1,0,8,post_accept,python_objects_and_small_tensor_validation,0.037326907739043236,0.037326907739043236,1640
brusselator_0001_0020,brusselator,reference,1,0,8,post_accept,refinement_fixed_polynomial,0.5042866328731179,0.5046919817104936,312
brusselator_0001_0020,brusselator,reference,1,0,8,post_accept,refinement_dynamic,0.04980946658179164,1.1810682765208185,9
brusselator_0001_0020,brusselator,reference,1,0,8,boundary,python_objects_and_small_tensor_validation,0.030594344716519117,0.030594344716519117,885
brusselator_0001_0020,brusselator,reference,1,0,8,boundary,boundary_endpoint,0.03265466960147023,0.24097627820447087,2
brusselator_0001_0020,brusselator,reference,1,0,8,history,python_objects_and_small_tensor_validation,0.09561713226139545,0.09561713226139545,2908
brusselator_0001_0020,brusselator,reference,1,0,8,history,cross_step_history,0.08211013162508607,0.17772726388648152,2
brusselator_0001_0020,brusselator,reference,1,0,8,other_solve,unwrapped_dispatch_and_other,0.022832735441625118,0.022832735441625118,1
brusselator_0001_0020,brusselator,reference,2,1,8,other_solve,python_objects_and_small_tensor_validation,0.020026305690407753,0.020026305690407753,630
brusselator_0001_0020,brusselator,reference,2,1,8,candidate,python_objects_and_small_tensor_validation,0.011284359265118837,0.011284359265118837,614
brusselator_0001_0020,brusselator,reference,2,1,8,candidate,polynomial_multiply_truncate_range,0.17650917265564203,0.17664848687127233,108
brusselator_0001_0020,brusselator,reference,2,1,8,candidate,candidate_polynomial,0.016455076169222593,0.20424860808998346,1
brusselator_0001_0020,brusselator,reference,2,1,8,other_solve,polynomial_multiply_truncate_range,0.09207517467439175,0.09214941691607237,58
brusselator_0001_0020,brusselator,reference,2,1,8,other_solve,initial_remainder,0.006013506557792425,0.07302498864009976,1
brusselator_0001_0020,brusselator,reference,2,1,8,post_accept,python_objects_and_small_tensor_validation,0.03702165698632598,0.03702165698632598,1640
brusselator_0001_0020,brusselator,reference,2,1,8,post_accept,refinement_fixed_polynomial,0.5014355536550283,0.5018536592833698,312
brusselator_0001_0020,brusselator,reference,2,1,8,post_accept,refinement_dynamic,0.04896779032424092,1.1730657424777746,9
brusselator_0001_0020,brusselator,reference,2,1,8,boundary,python_objects_and_small_tensor_validation,0.03379580285400152,0.03379580285400152,1017
