window,plant,execution_mode,instrumentation,step,history_before,replay_calls,solve_seconds,prepared_plan_count,prepared_operation_count,prepared_operation_hits,prepared_plan_setup_s
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,3,2,8,1.06718131294474,1,34,238,0.06473277555778623
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,4,3,8,1.0865472289733589,1,34,238,0.06704638106748462
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,5,4,8,1.0808132379315794,1,34,238,0.06468125013634562
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,6,5,8,1.1047638258896768,1,34,238,0.06500804796814919
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,7,6,8,1.1650394308380783,1,34,238,0.06830284278839827
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,8,7,8,1.2440128191374242,1,34,238,0.06500102812424302
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,9,8,7,1.235372157767415,1,34,204,0.06556507013738155
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,10,9,7,1.3042629463598132,1,34,204,0.06548251677304506
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,11,10,7,1.318119203671813,1,34,204,0.06563866883516312
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,12,11,7,1.354595333803445,1,34,204,0.06611329223960638
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,13,12,7,1.3692389191128314,1,34,204,0.06577660795301199
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,14,13,7,1.394959107041359,1,34,204,0.07478442275896668
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,15,14,7,1.4311282788403332,1,34,204,0.06580139277502894
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,16,15,7,1.4898021831177175,1,34,204,0.06584359938278794
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,17,16,7,1.5258599980734289,1,34,204,0.06524040829390287
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,18,17,7,1.5803561131469905,1,34,204,0.066852951887995
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,19,18,7,1.6179426782764494,1,34,204,0.06738742208108306
brusselator_0001_0020,brusselator,prepared_remainder_replay,production_diagnostic,20,19,7,1.6369011322967708,1,34,204,0.06580303749069571
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,1,0,8,0.7330907308496535,1,34,238,0.06579200085252523
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,2,1,8,1.0502884038724005,1,34,238,0.06556461052969098
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,3,2,8,1.1058001746423542,1,34,238,0.0664719445630908
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,4,3,8,1.118047050666064,1,34,238,0.06544204568490386
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,5,4,8,1.1117446888238192,1,34,238,0.06600253283977509
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,6,5,8,1.1618122146464884,1,34,238,0.0714143980294466
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,7,6,8,1.212171689607203,1,34,238,0.06568018766120076
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,8,7,8,1.2989309071563184,1,34,238,0.06715573603287339
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,9,8,7,1.2952987239696085,1,34,204,0.06563457706943154
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,10,9,7,1.3440335290506482,1,34,204,0.066193045116961
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,11,10,7,1.4017131426371634,1,34,204,0.06532326526939869
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,12,11,7,1.4095247257500887,1,34,204,0.06656578509137034
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,13,12,7,1.4051027921959758,1,34,204,0.06655090674757957
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,14,13,7,1.4615965806879103,1,34,204,0.0651597548276186
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,15,14,7,1.5316372411325574,1,34,204,0.06553368642926216
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,16,15,7,1.5572226368822157,1,34,204,0.06615540478378534
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,17,16,7,1.5978335589170456,1,34,204,0.07171878172084689
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,18,17,7,1.7044103699736297,1,34,204,0.06573874456807971
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,19,18,7,1.666845116764307,1,34,204,0.0657633738592267
brusselator_0001_0020,brusselator,prepared_remainder_replay,scoped,20,19,7,1.7053777137771249,1,34,204,0.06782271806150675
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,1,0,8,0.901890535838902,1,34,238,0.07839897507801652
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,2,1,8,1.2680434957146645,1,34,238,0.07841334864497185
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,3,2,8,1.3440685411915183,1,34,238,0.07899783086031675
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,4,3,8,1.3600200898945332,1,34,238,0.07832458475604653
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,5,4,8,1.4019302371889353,1,34,238,0.07836712850257754
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,6,5,8,1.4063274832442403,1,34,238,0.07757546845823526
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,7,6,8,1.475037437863648,1,34,238,0.07756814733147621
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,8,7,8,1.5374553469009697,1,34,238,0.07707329047843814
brusselator_0001_0020,brusselator,prepared_remainder_replay,cprofile,9,8,7,1.5723650543950498,1,34,204,0.07866675453260541
