event_name,checkpoint_t,threshold,source,mode,run_kind,segment_index,status,run_reached_checkpoint,last_validated_time,comparison_status,t_lo,t_hi,h,final_segment_width_sum,tube_prefix_width_sum,flowstar_segment_width_sum,time_aligned_flowstar_segment_width,time_aligned_final_width_ratio,time_aligned_flowstar_tube_prefix_width,time_aligned_tube_ratio,target_margin_min,immediate_same_state_saving,cumulative_downstream_saving,missing_flowstar_component_fields,notes
first_flowstar_ratio_gt_2,4.2058673642397242,2,torch,constant_on_range_midpoint_schedule,,,missing,false,0.43677646366378969,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
first_flowstar_ratio_gt_5,6.2253033768535344,5,flowstar,generated_flowstar_h10_reference,reference,171,accepted,true,10,time_aligned,6.1969089999999998,6.2325869999999997,0.035677999999999876,0.51699667000000016,9.2696710000000007,0.51699667000000016,0.51699667000000016,1,9.2696710000000007,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
first_flowstar_ratio_gt_5,6.2253033768535344,5,torch,constant_adaptive_h10,constant adaptive,281,accepted,true,6.3172908799330765,time_aligned,6.2226755078401697,6.2275401927505891,0.0048646849104191456,3.2309591911252444,10.278816354233015,0.51699667000000016,0.51699667000000016,6.2494777599345923,9.2696710000000007,1.1088652827304242,3.4152394499976151e-05,0.01880554002179894,,,diagnostic checkpoint containing physical time; no interpolation
first_flowstar_ratio_gt_5,6.2253033768535344,5,torch,range_midpoint_adaptive_h10,range_midpoint adaptive,250,accepted,true,6.3909311096815973,time_aligned,6.2171931789049628,6.2253033768535344,0.0081101979485714345,2.6304948612484584,10.030222034253299,0.51699667000000016,0.51699667000000016,5.0880305694202201,9.2696710000000007,1.0820472521897808,2.7324474064706773e-06,1.8841638049539786e-05,,,diagnostic checkpoint containing physical time; no interpolation
first_flowstar_ratio_gt_5,6.2253033768535344,5,torch,range_midpoint_on_constant_schedule,,,missing,false,6.0736617494140468,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
first_flowstar_ratio_gt_5,6.2253033768535344,5,torch,constant_on_range_midpoint_schedule,,,missing,false,0.43677646366378969,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
last_validated_segment,6.3909311096815973,,flowstar,generated_flowstar_h10_reference,reference,177,accepted,true,10,time_aligned,6.3720100000000004,6.4036119999999999,0.031601999999999464,0.45704840000000002,9.5298790000000011,0.45704840000000002,0.45704840000000002,1,9.5298790000000011,1,,,,unknown_missing_h10_reference_component_fields,diagnostic checkpoint containing physical time; no interpolation
last_validated_segment,6.3909311096815973,,torch,constant_adaptive_h10,,,missing,false,6.3172908799330765,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
last_validated_segment,6.3909311096815973,,torch,range_midpoint_adaptive_h10,range_midpoint adaptive,292,accepted,true,6.3909311096815973,time_aligned,6.3874612312346279,6.3909311096815973,0.0034698784469695265,4.2364622601248954,10.951974122131734,0.45704840000000002,0.45704840000000002,9.2691764376046279,9.5298790000000011,1.1492248875491213,6.4801892858515114e-06,7.6372741425936423e-06,,,diagnostic checkpoint containing physical time; no interpolation
last_validated_segment,6.3909311096815973,,torch,range_midpoint_on_constant_schedule,,,missing,false,6.0736617494140468,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
last_validated_segment,6.3909311096815973,,torch,constant_on_range_midpoint_schedule,,,missing,false,0.43677646366378969,run_ended_before_checkpoint,,,,,,,,,,,,,,,no containing segment; no carry-forward or interpolation used
