backend_lane,h_attempted,segment_index,t_before,total_wall_s
hybrid_dense_core,0.01,107,1.07,0.40428588899521856
hybrid_dense_core,0.01,108,1.08,0.38824343000305817
hybrid_dense_core,0.01,109,1.09,0.39541575300245313
hybrid_dense_core,0.01,110,1.1,0.38600138000037987
hybrid_dense_core,0.01,111,1.11,0.3871770160039887
hybrid_dense_core,0.01,112,1.12,0.398138234995713
hybrid_dense_core,0.01,113,1.1300000000000001,0.3954109919941402
hybrid_dense_core,0.01,114,1.1400000000000001,0.393784380001307
hybrid_dense_core,0.01,115,1.1500000000000001,0.38667972999974154
hybrid_dense_core,0.01,116,1.16,0.38542135799798416
hybrid_dense_core,0.01,117,1.17,0.3973047969993786
hybrid_dense_core,0.01,118,1.18,0.3961691860022256
hybrid_dense_core,0.01,119,1.19,0.38956352500099456
hybrid_dense_core,0.01,120,1.2,0.393491068003641
hybrid_dense_core,0.01,121,1.21,0.3943282170002931
hybrid_dense_core,0.01,122,1.22,0.3909869150011218
hybrid_dense_core,0.01,123,1.23,0.4102934290058329
hybrid_dense_core,0.01,124,1.24,0.3955389330003527
hybrid_dense_core,0.01,125,1.25,0.3862045490022865
hybrid_dense_core,0.01,126,1.26,0.39452390299993567
hybrid_dense_core,0.01,127,1.27,0.3857807269960176
hybrid_dense_core,0.01,128,1.28,0.4011965199970291
hybrid_dense_core,0.01,129,1.29,0.39251341999624856
hybrid_dense_core,0.01,130,1.3,0.3866521280069719
hybrid_dense_core,0.01,131,1.31,0.38634956299938494
hybrid_dense_core,0.01,132,1.32,0.3864225549987168
hybrid_dense_core,0.01,133,1.33,0.4019075139949564
hybrid_dense_core,0.01,134,1.34,0.3945284560031723
hybrid_dense_core,0.01,135,1.35,0.38628738400439033
hybrid_dense_core,0.01,136,1.36,0.3868511640030192
hybrid_dense_core,0.01,137,1.37,0.38618229800340487
hybrid_dense_core,0.01,138,1.3800000000000001,0.40849308599717915
hybrid_dense_core,0.01,139,1.3900000000000001,0.3888773390062852
hybrid_dense_core,0.01,140,1.4000000000000001,0.3860710579974693
hybrid_dense_core,0.01,141,1.41,0.38694953300000634
hybrid_dense_core,0.01,142,1.42,0.3872348359946045
hybrid_dense_core,0.01,143,1.43,0.3927679309999803
hybrid_dense_core,0.01,144,1.44,0.4013829079995048
hybrid_dense_core,0.01,145,1.45,0.38913039099861635
hybrid_dense_core,0.01,146,1.46,0.39491414700023597
hybrid_dense_core,0.01,147,1.47,0.38519768200058024
hybrid_dense_core,0.01,148,1.48,0.38567961400258355
hybrid_dense_core,0.01,149,1.49,0.4025934910023352
hybrid_dense_core,0.01,150,1.5,0.38578694100579014
hybrid_dense_core,0.01,151,1.51,0.4924597459976212
hybrid_dense_core,0.01,152,1.52,0.39573245799692813
hybrid_dense_core,0.01,153,1.53,0.3938464109960478
hybrid_dense_core,0.01,154,1.54,0.4070344300052966
hybrid_dense_core,0.01,155,1.55,0.3897127529999125
hybrid_dense_core,0.01,156,1.56,0.394358759993338
hybrid_dense_core,0.01,157,1.57,0.39380186299968045
hybrid_dense_core,0.01,158,1.58,0.39708535699901404
hybrid_dense_core,0.01,159,1.59,0.40459567999641877
hybrid_dense_core,0.01,160,1.6,0.3895835469957092
hybrid_dense_core,0.01,161,1.61,0.39972176900482737
hybrid_dense_core,0.01,162,1.62,0.3866327139985515
hybrid_dense_core,0.01,163,1.6300000000000001,0.38619119000213686
hybrid_dense_core,0.01,164,1.6400000000000001,0.3968062049971195
hybrid_dense_core,0.01,165,1.6500000000000001,0.3851558149981429
hybrid_dense_core,0.01,166,1.6600000000000001,0.38674693900247803
hybrid_dense_core,0.01,167,1.67,0.3858661759950337
hybrid_dense_core,0.01,168,1.68,0.3929748250011471
hybrid_dense_core,0.01,169,1.69,0.3978574260036112
hybrid_dense_core,0.01,170,1.7,0.3976730110007338
hybrid_dense_core,0.01,171,1.71,0.39326509200327564
hybrid_dense_core,0.01,172,1.72,0.38852937600313453
hybrid_dense_core,0.01,173,1.73,0.38622552499873564
hybrid_dense_core,0.01,174,1.74,0.39346916299837176
hybrid_dense_core,0.01,175,1.75,0.39812368800630793
hybrid_dense_core,0.01,176,1.76,0.3933430260003661
hybrid_dense_core,0.01,177,1.77,0.39450348299578764
hybrid_dense_core,0.01,178,1.78,0.3853092639983515
hybrid_dense_core,0.01,179,1.79,0.3880512500036275
hybrid_dense_core,0.01,180,1.8,0.4044110070026363
hybrid_dense_core,0.01,181,1.81,0.38843244800227694
hybrid_dense_core,0.01,182,1.82,0.4018931199971121
hybrid_dense_core,0.01,183,1.83,0.39316863799467683
hybrid_dense_core,0.01,184,1.84,0.38722186099766986
hybrid_dense_core,0.01,185,1.85,0.4019811670004856
hybrid_dense_core,0.01,186,1.86,0.38613671799976146
hybrid_dense_core,0.01,187,1.87,0.386398315000406
hybrid_dense_core,0.01,188,1.8800000000000001,0.3872260659991298
hybrid_dense_core,0.01,189,1.8900000000000001,0.3864602069952525
hybrid_dense_core,0.01,190,1.9000000000000001,0.39691643999685766
hybrid_dense_core,0.01,191,1.9100000000000001,0.39143659800174646
hybrid_dense_core,0.01,192,1.92,0.3933618280061637
