lane,segment_index,physical_time,controller_period,state,enclosure_kind,torch_width_median,torch_width_p95,torch_width_max,xiangru_width_median,xiangru_width_p95,xiangru_width_max,torch_over_xiangru_ratio_median,torch_over_xiangru_ratio_p95,torch_over_xiangru_ratio_max,torch_hull_width,xiangru_hull_width,torch_polynomial_range_width_median,torch_polynomial_range_width_p95,torch_polynomial_range_width_max,xiangru_polynomial_range_width_median,xiangru_polynomial_range_width_p95,xiangru_polynomial_range_width_max,torch_interval_remainder_width_median,torch_interval_remainder_width_p95,torch_interval_remainder_width_max,xiangru_interval_remainder_width_median,xiangru_interval_remainder_width_p95,xiangru_interval_remainder_width_max,maximum_lower_abs_difference,maximum_upper_abs_difference,torch_contains_xiangru_leaf_count,xiangru_contains_torch_leaf_count,minimum_torch_property_margin,minimum_xiangru_property_margin
common_control_plant_replay,1,0.1,1,x1,tube,0.08295388937267328,0.08720667989451489,0.08735422609289945,0.08195290394467869,0.0861987501729217,0.08634630119431164,1.0122147142363596,1.0127921350332247,1.0128165335771353,0.17441671728679187,0.17340879027580447,0.08281452845596224,0.08706001456707475,0.08720688956707706,0.08180951655568147,0.0860480582223482,0.08619493322234825,0.0001393609167110531,0.00014666532744013355,0.0001473365258223766,0.00014338738899722717,0.00015069195057349936,0.00015136797196338647,2.1738551814198814e-07,0.0010081585745042032,0,0,1.2988455167737278,1.2998536589317733
common_control_plant_replay,1,0.1,1,x2,tube,0.09119993887302025,0.09560346104312194,0.09579926563275765,0.08637915340977992,0.09076230564304491,0.09076260951459592,1.0558086048798692,1.059957423737106,1.0612339098188335,0.1787176542230734,0.1740969275662979,0.09105353469568223,0.09544897644949676,0.0956444448639831,0.08619461737628697,0.090569617376287,0.09056961737628706,0.00014640417733801958,0.0001544845936251715,0.00015482076877454198,0.0001845360334929259,0.00019268826675790867,0.00019299213830885605,6.557119784234011e-05,0.004971106044413309,48,0,1.2260066619192058,1.2260722119929541
common_control_plant_replay,1,0.1,1,x3,tube,0.16666463076085936,0.16694137081225702,0.1670227692502623,0.16087788185018026,0.16116886765693403,0.1612524368526413,1.0358434896977708,1.0375220056104466,1.0383690935392669,0.1672193288663151,0.1612524368526413,0.1666646307584686,0.1669413708098662,0.1670227692478715,0.16087788185018026,0.16116886765693403,0.1612524368526413,2.390745024811963e-12,2.3908021005699374e-12,2.390809442571989e-12,0.0,0.0,0.0,0.0059668920113553625,0.00019434782519731075,48,0,1.5940331079896446,1.600000000001
common_control_plant_replay,1,0.1,1,x4,tube,0.13329261517111018,0.13882741619906547,0.14045538495917015,0.1306278366886529,0.1310793543318248,0.13112368439702243,1.0213486478714513,1.0605574483653253,1.073708786134121,0.14438657728022625,0.14438657727555243,0.13329261516868696,0.13882741619664093,0.14045538495674545,0.1306278366886529,0.1310793543318248,0.13112368439702243,2.4234450746518916e-12,2.424567017721523e-12,2.424706297073433e-12,0.0,0.0,0.0,0.00964208923548665,0.003886956459915214,48,0,1.3749512629038396,1.374951262906177
common_control_plant_replay,1,0.1,1,u1,tube,0.3062783669131619,0.3107935433449013,0.3112368439968751,0.3062783669065272,0.3107935433382464,0.31123684399022267,1.0000000000216664,1.0000000000220617,1.0000000000221378,0.4438657727821713,0.4438657727755224,0.3062783669093333,0.31079354334105985,0.31123684399303336,0.3062783669065272,0.3107935433382464,0.31123684399022267,3.831721191879889e-12,3.845356152175714e-12,3.846753180192052e-12,0.0,0.0,0.0,3.327116360196669e-12,3.339550858072471e-12,48,0,N/A,N/A
common_control_plant_replay,2,0.2,1,x1,tube,0.09112506142475849,0.0954873190346022,0.0959295689594255,0.09000621908118533,0.09436134368392791,0.09480308672360094,1.012430753821099,1.0129794040431461,1.0130406669217566,0.18996208461808173,0.1888493742670272,0.09081987307217267,0.09516709151016031,0.09560691391902129,0.08968864979494254,0.0940287417833689,0.09446803083465487,0.00030518131320148126,0.0003202275244418819,0.0003226550404042136,0.00031756352283549065,0.0003326019005590189,0.0003350558889460719,9.087542963137629e-07,0.0011273905309612253,0,0,1.3621307651068895,1.3632443775245187
common_control_plant_replay,2,0.2,1,x2,tube,0.08678347010216342,0.09119562225781828,0.09139235831544823,0.08153013122088282,0.08592286055295817,0.0863121620500531,1.0644312064296348,1.0692196884552851,1.0707164339912427,0.18212184677527432,0.17710560396558406,0.08648079375415867,0.09087652205365261,0.09107396224205215,0.08114586389111503,0.08552180739572932,0.08591160062394895,0.0003027380778530246,0.0003191821883361051,0.00031977931533723475,0.0003843337507199033,0.0004011083535528355,0.000401502614317286,6.934491811905197e-05,0.005420657984125943,48,0,1.1635615236914545,1.163630566015184
common_control_plant_replay,2,0.2,1,x3,tube,0.1814409876633981,0.18236911873827838,0.18260897253689015,0.17415785818906723,0.17505160927426813,0.17529797534598585,1.0419072801152125,1.0435938613158204,1.044473352727936,0.18348861981700096,0.17597663942369618,0.18144098765622302,0.18236911873110292,0.1826089725297147,0.17415785818906723,0.17505160927426813,0.17529797534598585,7.175250068106292e-12,7.175498927201569e-12,7.175520023552702e-12,0.0,0.0,0.0,0.007511980387375772,0.00019434782880778378,48,0,1.6415211276055877,1.6490331079929634
common_control_plant_replay,2,0.2,1,x4,tube,0.16388171328925155,0.169765296779051,0.171268680687517,0.1612556733771055,0.16215870866344934,0.16224736879384472,1.0172980925221387,1.0489912035865407,1.0596565772932,0.18877315456277816,0.1887731545509046,0.1638817132820312,0.16976529677182733,0.1712686806802931,0.1612556733771055,0.16215870866344934,0.16224736879384472,7.22066167580616e-12,7.223893120538912e-12,7.224134048095649e-12,0.0,0.0,0.0,0.009642089239087215,0.003886956463514446,48,0,1.3499025258065163,1.3499025258124546
common_control_plant_replay,2,0.2,1,u1,tube,0.30627836691748733,0.31079354334922976,0.3112368440012059,0.30627836690452703,0.3107935433362462,0.3112368439882225,1.0000000000423155,1.0000000000430518,1.0000000000431923,0.44386577278649675,0.44386577277352224,0.3062783669093345,0.3107935433410596,0.31123684399303486,0.30627836690452703,0.3107935433362462,0.3112368439882225,8.155391028101024e-12,8.172913900451632e-12,8.17411778656018e-12,0.0,0.0,0.0,6.489031534329115e-12,6.501466032204917e-12,48,0,N/A,N/A
