lane,tool,segment_index,physical_time,controller_period,state,enclosure_kind,margin_min,margin_median,margin_p95,margin_max
common_control_plant_replay,torch,1,0.1,1,x1,endpoint,1.36340921681821,1.411094298710094,1.454875715272656,1.4587793574039527
common_control_plant_replay,xiangru,1,0.1,1,x1,endpoint,1.3634053933908152,1.411090487895379,1.4548719134557353,1.4587755596351504
common_control_plant_replay,torch,1,0.1,1,x2,endpoint,1.229930404781128,1.2757570488999463,1.3186514695947091,1.3215836820575968
common_control_plant_replay,xiangru,1,0.1,1,x2,endpoint,1.229926089029072,1.2757527441895111,1.3186471632410732,1.3215793703263126
common_control_plant_replay,torch,1,0.1,1,x3,endpoint,1.649033107989653,1.6493526492256443,1.6496238613562522,1.6497117720673633
common_control_plant_replay,xiangru,1,0.1,1,x3,endpoint,1.6490331079919636,1.6493526492279549,1.6496238613585625,1.6497117720696737
common_control_plant_replay,torch,1,0.1,1,x4,endpoint,1.374951262903847,1.3824423629530684,1.3872692130459234,1.3884360727310976
common_control_plant_replay,xiangru,1,0.1,1,x4,endpoint,1.374951262906177,1.3824423629553977,1.3872692130482527,1.3884360727334268
common_control_plant_replay,torch,1,0.1,1,x1,tube,1.2988455167737278,1.3426103473041864,1.3863621784723545,1.3863751944715093
common_control_plant_replay,xiangru,1,0.1,1,x1,tube,1.2998536589317733,1.3436115483358178,1.3873629713376991,1.387369455090608
common_control_plant_replay,torch,1,0.1,1,x2,tube,1.2260066619192058,1.272049220644805,1.3151542549213218,1.318091844223475
common_control_plant_replay,xiangru,1,0.1,1,x2,tube,1.2260722119929541,1.2721147817601777,1.3152198143934914,1.3181573983180042
common_control_plant_replay,torch,1,0.1,1,x3,tube,1.5940331079896446,1.594229348639808,1.5942475023734306,1.5942499515356048
common_control_plant_replay,xiangru,1,0.1,1,x3,tube,1.600000000001,1.600000000001,1.600000000001,1.600000000001
common_control_plant_replay,torch,1,0.1,1,x4,tube,1.3749512629038396,1.382442362953061,1.3847520724017002,1.3848330860004516
