lane,aten_item_count,aten_local_scalar_dense_count,aten_to_count,compiled_graph_count,cuda_activity_event_count,cuda_launch_api_count,graph_break_count_inside_compiled_stages,host_scalar_sync_estimate,lane_execution,positive_self_cuda_allocation_bytes,peak_cuda_memory_bytes
baseline_native_k2,80,80,81,0,75892,75440,0,80,eager,12119956480,1031002112
algorithm_aligned_q3,80,80,81,0,139869,139417,0,80,eager,12156239360,1030419968
fused_segmented,7,7,25,4,11174,7941,0,7,four fullgraph stages,6161790976,1030036480
