batch,repeat,seconds
48,1,0.040062704123556614
48,2,0.04007940646260977
48,3,0.04017147235572338
48,4,0.04072278831154108
48,5,0.04153512045741081
48,6,0.040448025800287724
48,7,0.0400895019993186
48,8,0.03995103668421507
48,9,0.04018709156662226
48,10,0.0401530209928751
1,1,0.04325605183839798
1,2,0.0411921301856637
1,3,0.04070096742361784
1,4,0.0413221949711442
1,5,0.041099884547293186
1,6,0.04095341358333826
1,7,0.0409127501770854
1,8,0.040504331700503826
1,9,0.040707689709961414
1,10,0.041246128268539906
192,1,0.04553421400487423
192,2,0.04334137309342623
192,3,0.043148502707481384
192,4,0.04369086492806673
192,5,0.04341679438948631
192,6,0.04327110666781664
192,7,0.04307818226516247
192,8,0.042972358874976635
192,9,0.044542428106069565
192,10,0.04416875448077917
