checksum,repeat,seconds,status
190979.0503860716,1,26.121589402668178,PASS
190979.0503860716,2,26.158960791304708,PASS
190979.0503860716,3,26.18573095370084,PASS
190979.0503860716,4,26.20366020221263,PASS
190979.0503860716,5,26.207485772669315,PASS
