analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_unavailable_reason,message,native_validation_passed,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,0.0,0.0,True,400,cpu,float64,0.011013332987204194,4.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,7.207971066236496e-06,4,4.0,400,total_configuration_v2,0.011084249999839813,2.771062499959953e-05,0.011084249999839813,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.011084875033702701,4.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.500049494206905e-06,5,4.0,400,total_configuration_v2,0.011155999964103103,2.7889999910257756e-05,0.011155999964103103,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.010895083018112928,4.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,8.083006832748652e-06,6,4.0,400,total_configuration_v2,0.010965374996885657,2.7413437492214144e-05,0.010965374996885657,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.011017083015758544,4.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.459013093262911e-06,7,4.0,400,total_configuration_v2,0.011085041973274201,2.7712604933185502e-05,0.011085041973274201,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.011019625002518296,4.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.749993190169334e-06,8,4.0,400,total_configuration_v2,0.011089875013567507,2.772468753391877e-05,0.011089875013567507,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.010870750003959984,4.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.709014996886253e-06,9,4.0,400,total_configuration_v2,0.010941832966636866,2.7354582416592167e-05,0.010941832966636866,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
required,True,True,0.0,0.0,True,400,cpu,float64,0.012636832951102406,4.0,completed,,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.4999997802078724e-05,10,4.0,400,total_configuration_v2,0.012782582954969257,3.195645738742314e-05,0.012782582954969257,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
not_applicable,False,,0.0022701669950038195,4.041927999991458,True,50,cpu,float64,0.0021109580411575735,0.25,completed,,0.005,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.415967173874378e-06,0,0.25,50,total_configuration_v2,0.0022701669950038195,4.5403339900076386e-05,0.0022701669950038195,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.0020832919981330633,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.9170111045241356e-06,1,0.25,50,total_configuration_v2,0.002163708966691047,4.327417933382094e-05,0.002163708966691047,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
not_applicable,False,,0.0,0.0,True,50,cpu,float64,0.0021027090260758996,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.834006980061531e-06,2,0.25,50,total_configuration_v2,0.002184417040552944,4.368834081105888e-05,0.002184417040552944,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
