acceleration_scope,algorithmic_hardware_fair_comparison,analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,backend,backend_status,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_unavailable_reason,message,native_validation_passed,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,27.93059103889391,0.0,True,50,cpu,float64,27.71020733192563,0.25,completed,0.5599479580414481,0.005,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,3.0830269679427147e-06,0,0.25,50,250,total_configuration_v2,27.93059103889391,0.5579048750223592,27.93059103889391,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,0.0,0.0,True,50,cpu,float64,28.400080249644816,0.25,completed,0.5618415000499226,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.5420449674129486e-06,1,0.25,50,250,total_configuration_v2,28.625343457213603,0.5593716250150464,28.625343457213603,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,0.0,0.0,True,50,cpu,float64,27.788332875061315,0.25,completed,0.5652979159494862,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.9159709811210632e-06,2,0.25,50,250,total_configuration_v2,28.009137957997154,0.5588111669640057,28.009137957997154,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,0.0,0.0,True,50,cpu,float64,27.50273004185874,0.25,completed,0.5446094169747084,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,5.999987479299307e-06,3,0.25,50,250,total_configuration_v2,27.719714002974797,0.5512935419683345,27.719714002974797,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,0.0,0.0,True,50,cpu,float64,27.80648158385884,0.25,completed,0.5485444999649189,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.0840088836848736e-06,4,0.25,50,250,total_configuration_v2,28.027981916966382,0.5588010419742204,28.027981916966382,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,0.0,0.0,True,50,cpu,float64,28.043183379922993,0.25,completed,0.5523574160179123,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,5.249981768429279e-06,5,0.25,50,250,total_configuration_v2,28.26683312433306,0.5525815419969149,28.26683312433306,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,0.0,0.0,True,50,cpu,float64,27.988031250191852,0.25,completed,0.5599408749840222,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.3000040780752897e-05,6,0.25,50,250,total_configuration_v2,28.21026162384078,0.559727500018198,28.21026162384078,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,0.0,0.0,True,50,cpu,float64,29.304970294528175,0.25,completed,0.5561696669901721,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.7500209398567677e-06,7,0.25,50,250,total_configuration_v2,29.531892961764243,0.5598297499818727,29.531892961764243,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,0.0,0.0,True,50,cpu,float64,27.79536666808417,0.25,completed,0.5624869170133024,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.167013008147478e-06,8,0.25,50,250,total_configuration_v2,28.017580583982635,0.5595277080428787,28.017580583982635,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,0.0,0.0,True,50,cpu,float64,27.710434000124224,0.25,completed,0.5517966249608435,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.7919886633753777e-06,9,0.25,50,250,total_configuration_v2,27.932220923306886,0.5591167919919826,27.932220923306886,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,torch_cpu,available,0.0,0.0,True,50,cpu,float64,28.551813958096318,0.25,completed,0.557063875021413,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.7080532163381577e-06,10,0.25,50,250,total_configuration_v2,28.775227997859474,0.5596760420012288,28.775227997859474,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
secondary_native_hardware_throughput,False,,,,torch_cuda,unavailable,,,,,cuda,,,,,,0.005,,,,torch.cuda.is_available() is false,,,,,,0.25,,,,,,,,coupled_quadratic,torch_tm_flowpipe,,order4_affine_reset_selected,
