analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement_reason,message,native_validation_passed,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,0.07992695801658556,1.9310776659986004,True,100,cpu,MPFR_interval_53_bit,0.07844183396082371,1.0,completed,0.000377,0.01,cold,repetitions share a parent process; isolated configuration peak was not measured,,True,unavailable,0.0,2.5834015104919672e-05,0,1.0,100,total_configuration_v2,0.07992695801658556,0.000335,0.07992695801658556,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
required,True,True,0.0,0.0,True,100,cpu,MPFR_interval_53_bit,0.07828262500697747,1.0,completed,0.000353,0.01,steady,repetitions share a parent process; isolated configuration peak was not measured,,True,unavailable,0.0,2.1249987185001373e-05,1,1.0,100,total_configuration_v2,0.07982054201420397,0.000334,0.07982054201420397,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
required,True,True,0.0,0.0,True,100,cpu,MPFR_interval_53_bit,0.07879870798205957,1.0,completed,0.000367,0.01,steady,repetitions share a parent process; isolated configuration peak was not measured,,True,unavailable,0.0,2.0209001377224922e-05,2,1.0,100,total_configuration_v2,0.0803359589772299,0.000334,0.0803359589772299,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
required,True,True,0.0,0.0,True,100,cpu,MPFR_interval_53_bit,0.07862729200860485,1.0,completed,0.000348,0.01,steady,repetitions share a parent process; isolated configuration peak was not measured,,True,unavailable,0.0,2.3500004317611456e-05,3,1.0,100,total_configuration_v2,0.08019141701515764,0.000334,0.08019141701515764,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
required,True,True,0.0,0.0,True,100,cpu,MPFR_interval_53_bit,0.07908866700017825,1.0,completed,0.000369,0.01,steady,repetitions share a parent process; isolated configuration peak was not measured,,True,unavailable,0.0,2.0792009308934212e-05,4,1.0,100,total_configuration_v2,0.08063824998680502,0.000334,0.08063824998680502,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
required,True,True,0.0,0.0,True,100,cpu,MPFR_interval_53_bit,0.07869762496557087,1.0,completed,0.000341,0.01,steady,repetitions share a parent process; isolated configuration peak was not measured,,True,unavailable,0.0,1.9249971956014633e-05,5,1.0,100,total_configuration_v2,0.08023320900974795,0.000335,0.08023320900974795,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
required,True,True,0.0,0.0,True,100,cpu,MPFR_interval_53_bit,0.07872150000184774,1.0,completed,0.000345,0.01,steady,repetitions share a parent process; isolated configuration peak was not measured,,True,unavailable,0.0,2.366595435887575e-05,6,1.0,100,total_configuration_v2,0.08025779202580452,0.000334,0.08025779202580452,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
required,True,True,0.0,0.0,True,100,cpu,MPFR_interval_53_bit,0.07852329197339714,1.0,completed,0.000354,0.01,steady,repetitions share a parent process; isolated configuration peak was not measured,,True,unavailable,0.0,2.4541979655623436e-05,7,1.0,100,total_configuration_v2,0.08002958301221952,0.000334,0.08002958301221952,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
required,True,True,0.0,0.0,True,100,cpu,MPFR_interval_53_bit,0.07812079199356958,1.0,completed,0.000354,0.01,steady,repetitions share a parent process; isolated configuration peak was not measured,,True,unavailable,0.0,1.9415980204939842e-05,8,1.0,100,total_configuration_v2,0.07960095797898248,0.000335,0.07960095797898248,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
required,True,True,0.0,0.0,True,100,cpu,MPFR_interval_53_bit,0.07804758299607784,1.0,completed,0.000351,0.01,steady,repetitions share a parent process; isolated configuration peak was not measured,,True,unavailable,0.0,2.1915999241173267e-05,9,1.0,100,total_configuration_v2,0.07958141702692956,0.000334,0.07958141702692956,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
