analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_unavailable_reason,message,native_validation_passed,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,0.0,0.0,True,100,cpu,float64,4.314345117425546,1.0,completed,0.04196720797335729,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.499991286545992e-06,10,1.0,100,0,total_configuration_v2,4.423720792052336,0.041720125009305775,4.423720792052336,1.0,riccati,torch_tm_flowpipe,True,order2_affine_reset_selected,0.11473790771246169
required,True,True,13.339190585189499,0.0,True,100,cpu,float64,13.185375540459063,1.0,completed,0.13482274999842048,0.01,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.9160014390945435e-06,0,1.0,100,100,total_configuration_v2,13.339190585189499,0.1260699579725042,13.339190585189499,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,12.961738629091997,1.0,completed,0.12557133298832923,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,8.459028322249651e-06,1,1.0,100,100,total_configuration_v2,13.114774125278927,0.12807787500787526,13.114774125278927,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,13.493319125205744,1.0,completed,0.15727695799432695,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.332993507385254e-06,2,1.0,100,100,total_configuration_v2,13.65146075031953,0.1298172909882851,13.65146075031953,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,13.080858207482379,1.0,completed,0.1333049590466544,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.416987162083387e-06,3,1.0,100,100,total_configuration_v2,13.236551048292313,0.12884024996310472,13.236551048292313,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,15.86439546092879,1.0,completed,0.12657162500545382,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,7.834052667021751e-06,4,1.0,100,100,total_configuration_v2,16.052854919515084,0.13959099998464808,16.052854919515084,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,13.11202879191842,1.0,completed,0.2543303749989718,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.709014996886253e-06,5,1.0,100,100,total_configuration_v2,13.267196658998728,0.12684924999484792,13.267196658998728,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,12.8334214608185,1.0,completed,0.12526391696883366,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.916990969330072e-06,6,1.0,100,100,total_configuration_v2,12.986125006049406,0.12697008298709989,12.986125006049406,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,14.621825863374397,1.0,completed,0.1252650839742273,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.792019121348858e-06,7,1.0,100,100,total_configuration_v2,14.792656079051085,0.1321720000123605,14.792656079051085,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,13.067989862989634,1.0,completed,0.1234567909850739,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.749993190169334e-06,8,1.0,100,100,total_configuration_v2,13.221855502575636,0.12793579103890806,13.221855502575636,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,13.524830710259266,1.0,completed,0.12395091698272154,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,7.1249669417738914e-06,9,1.0,100,100,total_configuration_v2,13.683818493795116,0.1321541250217706,13.683818493795116,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,13.407500251953024,1.0,completed,0.12891966698225588,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,6.62502134218812e-06,10,1.0,100,100,total_configuration_v2,13.56488304620143,0.12801437499001622,13.56488304620143,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,15.978396120714024,0.0,True,400,cpu,float64,15.155137155030388,4.0,completed,0.038295416976325214,0.01,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,5.200004670768976e-05,0,4.0,400,0,total_configuration_v2,15.978396120714024,0.03825904102995992,15.978396120714024,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,15.438229539024178,4.0,completed,0.03635037498315796,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.3625016435980797e-05,1,4.0,400,0,total_configuration_v2,16.350198458705563,0.03826983302133158,16.350198458705563,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,14.730510455963667,4.0,completed,0.036518874985631555,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.5125027857720852e-05,2,4.0,400,0,total_configuration_v2,15.524568201682996,0.03756612498546019,15.524568201682996,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,14.834533256827854,4.0,completed,0.036965042003430426,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.6042031347751617e-05,3,4.0,400,0,total_configuration_v2,15.636676203401294,0.03757458401378244,15.636676203401294,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,17.704799697210547,4.0,completed,0.04509824997512624,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.2832984793931246e-05,4,4.0,400,0,total_configuration_v2,18.70366625324823,0.04100937501061708,18.70366625324823,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,20.2256244160817,4.0,completed,0.04115666600409895,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.291697844862938e-05,5,4.0,400,0,total_configuration_v2,21.434801114781294,0.04176574997836724,21.434801114781294,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,20.013120166840963,4.0,completed,0.03642016602680087,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.4541961718350649e-05,6,4.0,400,0,total_configuration_v2,21.130345201003365,0.0416421249974519,21.130345201003365,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,15.385078588617034,4.0,completed,0.043228916998486966,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.695798709988594e-05,7,4.0,400,0,total_configuration_v2,16.2180920431274,0.03825866599800065,16.2180920431274,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,14.92385902942624,4.0,completed,0.04202862503007054,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.1791998986154795e-05,8,4.0,400,0,total_configuration_v2,15.733091366069857,0.038082415994722396,15.733091366069857,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,15.391580659081228,4.0,completed,0.03684216598048806,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.579197123646736e-05,9,4.0,400,0,total_configuration_v2,16.26217820122838,0.03778966597747058,16.26217820122838,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,14.736205237044487,4.0,completed,0.04874525003833696,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.4167046174407005e-05,10,4.0,400,0,total_configuration_v2,15.53451537626097,0.037803957995492965,15.53451537626097,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,38.329179325606674,0.0,True,400,cpu,float64,37.10042261471972,4.0,completed,0.064941041986458,0.01,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.9666040316224098e-05,0,4.0,400,0,total_configuration_v2,38.329179325606674,0.07271033304277807,38.329179325606674,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,27.122968449431937,4.0,completed,0.07335420796880499,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.4624965842813253e-05,1,4.0,400,0,total_configuration_v2,27.935267195745837,0.06746112497057766,27.935267195745837,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,27.200720285763964,4.0,completed,0.07322199997724965,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.3833981938660145e-05,2,4.0,400,0,total_configuration_v2,28.01057508867234,0.067290790961124,28.01057508867234,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,28.612172791094054,4.0,completed,0.06529070797841996,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.429201802238822e-05,3,4.0,400,0,total_configuration_v2,29.450695418927353,0.06731062498874962,29.450695418927353,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,27.00468707550317,4.0,completed,0.06434062501648441,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.0290957763791084e-05,4,4.0,400,0,total_configuration_v2,27.809562291484326,0.06739337497856468,27.809562291484326,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,26.81339987477986,4.0,completed,0.07301437499700114,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.8541020583361387e-05,5,4.0,400,0,total_configuration_v2,27.61772670946084,0.06633437500568107,27.61772670946084,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,31.529015326173976,4.0,completed,0.06675295799504966,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.2042000889778137e-05,6,4.0,400,0,total_configuration_v2,32.48560978518799,0.07040954200783744,32.48560978518799,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,29.465696965286043,4.0,completed,0.06458516698330641,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.2375006917864084e-05,7,4.0,400,0,total_configuration_v2,30.317990157636814,0.06678216601721942,30.317990157636814,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,27.599271968589164,4.0,completed,0.0642895830096677,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.2917036656290293e-05,8,4.0,400,0,total_configuration_v2,28.427904495678376,0.06812454201281071,28.427904495678376,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,28.848558720725123,4.0,completed,0.06617308303248137,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,8.98329890333116e-05,9,4.0,400,0,total_configuration_v2,29.709774379211012,0.0658090419601649,29.709774379211012,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
required,True,True,0.0,0.0,True,400,cpu,float64,25.65962884016335,4.0,completed,0.06446370802586898,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.0999967344105244e-05,10,4.0,400,0,total_configuration_v2,26.425206130952574,0.06484520802041516,26.425206130952574,4.0,harmonic,torch_tm_flowpipe,True,order4_affine_reset_selected,10.494236021719196
not_applicable,False,,6.897428794181906,0.0,True,50,cpu,float64,6.784745292214211,0.25,completed,0.13802062498871237,0.005,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,3.0420487746596336e-06,0,0.25,50,0,total_configuration_v2,6.897428794181906,0.13787837501149625,6.897428794181906,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,7.022967333905399,0.25,completed,0.13677795900730416,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.1249870769679546e-06,1,0.25,50,0,total_configuration_v2,7.137695789162535,0.13745187496533617,7.137695789162535,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.773443083919119,0.25,completed,0.1374785000225529,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.874992787837982e-06,2,0.25,50,0,total_configuration_v2,6.886919257289264,0.1376304590376094,6.886919257289264,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.769320082734339,0.25,completed,0.137200083991047,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.1249870769679546e-06,3,0.25,50,0,total_configuration_v2,6.8813087929738685,0.13754399999743327,6.8813087929738685,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.768225249077659,0.25,completed,0.1380537090008147,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.6249908842146397e-06,4,0.25,50,0,total_configuration_v2,6.8807105019222945,0.13757466699462384,6.8807105019222945,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.728257748822216,0.25,completed,0.13903587497770786,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.6249908842146397e-06,5,0.25,50,0,total_configuration_v2,6.840282708813902,0.13629866600967944,6.840282708813902,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,7.18637232814217,0.25,completed,0.1370030419784598,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,3.0420487746596336e-06,6,0.25,50,0,total_configuration_v2,7.307114208757412,0.13889887498226017,7.307114208757412,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.898406043124851,0.25,completed,0.1549372909939848,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.95804750546813e-06,7,0.25,50,0,total_configuration_v2,7.0118424599641,0.1366862499853596,7.0118424599641,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.786804791656323,0.25,completed,0.13730954204220325,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.333021257072687e-06,8,0.25,50,0,total_configuration_v2,6.899763668596279,0.13804020901443437,6.899763668596279,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.782492250262294,0.25,completed,0.1379518749890849,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.374988980591297e-06,9,0.25,50,0,total_configuration_v2,6.894864374015015,0.13793754199286923,6.894864374015015,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,0.0,0.0,True,50,cpu,float64,6.798427332134452,0.25,completed,0.13694229198154062,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.416956704109907e-06,10,0.25,50,0,total_configuration_v2,6.91147841908969,0.13771375000942498,6.91147841908969,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.043027088479031264
not_applicable,False,,27.93059103889391,0.0,True,50,cpu,float64,27.71020733192563,0.25,completed,0.5599479580414481,0.005,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,3.0830269679427147e-06,0,0.25,50,250,total_configuration_v2,27.93059103889391,0.5579048750223592,27.93059103889391,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,28.400080249644816,0.25,completed,0.5618415000499226,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.5420449674129486e-06,1,0.25,50,250,total_configuration_v2,28.625343457213603,0.5593716250150464,28.625343457213603,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,27.788332875061315,0.25,completed,0.5652979159494862,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.9159709811210632e-06,2,0.25,50,250,total_configuration_v2,28.009137957997154,0.5588111669640057,28.009137957997154,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,27.50273004185874,0.25,completed,0.5446094169747084,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,5.999987479299307e-06,3,0.25,50,250,total_configuration_v2,27.719714002974797,0.5512935419683345,27.719714002974797,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,27.80648158385884,0.25,completed,0.5485444999649189,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.0840088836848736e-06,4,0.25,50,250,total_configuration_v2,28.027981916966382,0.5588010419742204,28.027981916966382,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,28.043183379922993,0.25,completed,0.5523574160179123,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,5.249981768429279e-06,5,0.25,50,250,total_configuration_v2,28.26683312433306,0.5525815419969149,28.26683312433306,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,27.988031250191852,0.25,completed,0.5599408749840222,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.3000040780752897e-05,6,0.25,50,250,total_configuration_v2,28.21026162384078,0.559727500018198,28.21026162384078,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,29.304970294528175,0.25,completed,0.5561696669901721,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.7500209398567677e-06,7,0.25,50,250,total_configuration_v2,29.531892961764243,0.5598297499818727,29.531892961764243,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,27.79536666808417,0.25,completed,0.5624869170133024,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.167013008147478e-06,8,0.25,50,250,total_configuration_v2,28.017580583982635,0.5595277080428787,28.017580583982635,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,27.710434000124224,0.25,completed,0.5517966249608435,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.7919886633753777e-06,9,0.25,50,250,total_configuration_v2,27.932220923306886,0.5591167919919826,27.932220923306886,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,0.0,0.0,True,50,cpu,float64,28.551813958096318,0.25,completed,0.557063875021413,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.7080532163381577e-06,10,0.25,50,250,total_configuration_v2,28.775227997859474,0.5596760420012288,28.775227997859474,0.25,coupled_quadratic,torch_tm_flowpipe,True,order4_affine_reset_selected,0.04296633789350131
not_applicable,False,,3.4414715432794765,0.0,True,25,cpu,float64,3.384703250194434,0.25,completed,0.13857170805567876,0.01,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.4579931050539017e-06,0,0.25,25,0,total_configuration_v2,3.4414715432794765,0.1376929375110194,3.4414715432794765,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.04303909579551132
not_applicable,False,,0.0,0.0,True,25,cpu,float64,3.3905735821463168,0.25,completed,0.13668150000739843,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.874992787837982e-06,1,0.25,25,0,total_configuration_v2,3.447263375739567,0.13785054197069257,3.447263375739567,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.04303909579551132
not_applicable,False,,0.0,0.0,True,25,cpu,float64,3.403358958021272,0.25,completed,0.13732216699281707,0.01,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.4579931050539017e-06,2,0.25,25,0,total_configuration_v2,3.4599195410264656,0.13793191648437642,3.4599195410264656,0.25,coupled_quadratic,torch_tm_flowpipe,True,order2_affine_reset_selected,0.04303909579551132
