analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_measurement_reason,memory_unavailable_reason,message,native_validation_passed,observation_source,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,reset_discarded_term_count,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
required,True,True,0.0,0.0,True,100,cpu,float64,13.080858207482379,1.0,completed,0.1333049590466544,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,6.416987162083387e-06,3,1.0,100,100,total_configuration_v2,13.236551048292313,0.12884024996310472,13.236551048292313,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,15.86439546092879,1.0,completed,0.12657162500545382,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,7.834052667021751e-06,4,1.0,100,100,total_configuration_v2,16.052854919515084,0.13959099998464808,16.052854919515084,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,13.11202879191842,1.0,completed,0.2543303749989718,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,6.709014996886253e-06,5,1.0,100,100,total_configuration_v2,13.267196658998728,0.12684924999484792,13.267196658998728,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,12.8334214608185,1.0,completed,0.12526391696883366,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,6.916990969330072e-06,6,1.0,100,100,total_configuration_v2,12.986125006049406,0.12697008298709989,12.986125006049406,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,14.621825863374397,1.0,completed,0.1252650839742273,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,6.792019121348858e-06,7,1.0,100,100,total_configuration_v2,14.792656079051085,0.1321720000123605,14.792656079051085,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,13.067989862989634,1.0,completed,0.1234567909850739,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,6.749993190169334e-06,8,1.0,100,100,total_configuration_v2,13.221855502575636,0.12793579103890806,13.221855502575636,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,13.524830710259266,1.0,completed,0.12395091698272154,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,7.1249669417738914e-06,9,1.0,100,100,total_configuration_v2,13.683818493795116,0.1321541250217706,13.683818493795116,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,0.0,0.0,True,100,cpu,float64,13.407500251953024,1.0,completed,0.12891966698225588,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,6.62502134218812e-06,10,1.0,100,100,total_configuration_v2,13.56488304620143,0.12801437499001622,13.56488304620143,1.0,riccati,torch_tm_flowpipe,True,order4_affine_reset_selected,0.1139617329824736
required,True,True,15.978396120714024,0.0,True,400,cpu,float64,15.155137155030388,4.0,completed,0.038295416976325214,0.01,cold,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,5.200004670768976e-05,0,4.0,400,0,total_configuration_v2,15.978396120714024,0.03825904102995992,15.978396120714024,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,15.438229539024178,4.0,completed,0.03635037498315796,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.3625016435980797e-05,1,4.0,400,0,total_configuration_v2,16.350198458705563,0.03826983302133158,16.350198458705563,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
required,True,True,0.0,0.0,True,400,cpu,float64,14.730510455963667,4.0,completed,0.036518874985631555,0.01,steady,unavailable,,configuration did not run in an isolated measurement subprocess,,True,torch,unavailable,0.0,1.5125027857720852e-05,2,4.0,400,0,total_configuration_v2,15.524568201682996,0.03756612498546019,15.524568201682996,4.0,harmonic,torch_tm_flowpipe,True,order2_affine_reset_selected,10.973092497064886
