acceleration_scope,algorithmic_hardware_fair_comparison,analytic_containment_applicability,analytic_containment_passed,analytic_reference_contained,backend,backend_status,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,completed_steps,device,dtype,engine_internal_time_s,evaluation_time,failure_category,first_step_time_s,h,measurement_phase,memory_measurement,memory_unavailable_reason,message,native_validation_passed,peak_process_rss_kib,plot_report_time_s,posthoc_validation_time_s,repetition,requested_horizon,requested_steps,runtime_boundary_version,steady_full_configuration_time_s,steady_step_time_s,steady_total_configuration_time_s,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0022701669950038195,4.041927999991458,True,50,cpu,float64,0.0021109580411575735,0.25,completed,,0.005,cold,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,2.415967173874378e-06,0,0.25,50,total_configuration_v2,0.0022701669950038195,4.5403339900076386e-05,0.0022701669950038195,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0,0.0,True,50,cpu,float64,0.0020832919981330633,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.9170111045241356e-06,1,0.25,50,total_configuration_v2,0.002163708966691047,4.327417933382094e-05,0.002163708966691047,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0,0.0,True,50,cpu,float64,0.0021027090260758996,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.834006980061531e-06,2,0.25,50,total_configuration_v2,0.002184417040552944,4.368834081105888e-05,0.002184417040552944,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0,0.0,True,50,cpu,float64,0.0021368329762481153,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.125037670135498e-06,3,0.25,50,total_configuration_v2,0.0022130420547910035,4.426084109582007e-05,0.0022130420547910035,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0,0.0,True,50,cpu,float64,0.002145166974514723,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,9.579816833138466e-07,4,0.25,50,total_configuration_v2,0.00223258399637416,4.46516799274832e-05,0.00223258399637416,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0,0.0,True,50,cpu,float64,0.0020850420114584267,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.2909877113997936e-06,5,0.25,50,total_configuration_v2,0.002177625021431595,4.35525004286319e-05,0.002177625021431595,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0,0.0,True,50,cpu,float64,0.0021125839557498693,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,9.579816833138466e-07,6,0.25,50,total_configuration_v2,0.002196999965235591,4.3939999304711815e-05,0.002196999965235591,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0,0.0,True,50,cpu,float64,0.0021557919681072235,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,7.919734343886375e-07,7,0.25,50,total_configuration_v2,0.002263917005620897,4.5278340112417934e-05,0.002263917005620897,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0,0.0,True,50,cpu,float64,0.002090000023599714,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,1.2909877113997936e-06,8,0.25,50,total_configuration_v2,0.0021911660442128778,4.382332088425756e-05,0.0021911660442128778,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0,0.0,True,50,cpu,float64,0.0021338750375434756,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,7.92031642049551e-07,9,0.25,50,total_configuration_v2,0.0021945000044070184,4.3890000088140366e-05,0.0021945000044070184,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput;same_full_configuration,False,not_applicable,False,,jax_cpu,available,0.0,0.0,True,50,cpu,float64,0.0021103330072946846,0.25,completed,,0.005,steady,unavailable,configuration did not run in an isolated measurement subprocess,,True,unavailable,0.0,7.500057108700275e-07,10,0.25,50,total_configuration_v2,0.002194875036366284,4.3897500727325675e-05,0.002194875036366284,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
secondary_native_hardware_throughput,False,,,,jax_cuda,unavailable,,,,,cuda,,,,,,0.005,,,,installed JAX/JAXlib exposes no GPU device,,,,,,0.25,,,,,,,coupled_quadratic,diffreach,,restricted_quasi_window100_round5_selected,
