all_required_repetitions_present,analytic_containment_applicability,analytic_containment_passed,basis_id,bound_semantics,carry_or_preconditioning,cold_total_configuration_time_s,compile_or_jit_time_s,completed_requested_horizon,config_id,effective_order,engine_internal_time_s,evaluation_time,failure_category,failure_message,failure_step,h,last_valid_step,memory_kib,memory_measurement_reason,native_validation_passed,plot_report_time_s,posthoc_validation_time_s,primary_comparable,remainder_policy,requested_horizon,requested_order,requested_steps,runtime_boundary_version,runtime_max_s,runtime_min_s,runtime_repetitions,runtime_statistic,steady_full_configuration_time_s,steady_total_configuration_time_s,step_policy,successful_horizon,system,tool,trajectory_sanity_passed,variant,width_at_evaluation_time
True,not_applicable,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0022701669950038195,4.041927999991458,True,57f32b4047037314028914e45706dedd7fd8feb0ff6c54bd85217250dbf830c4,restricted_quasiquadratic_round5,0.002111458481522277,0.25,completed,,,0.005,50,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.0415096767246723e-06,True,frr_round5_stop_ratio_0.95,0.25,not_applicable,50,total_configuration_v2,0.002263917005620897,0.002163708966691047,10,median_full_configuration,0.002194687520386651,0.002194687520386651,fixed,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.0429775920432517
True,not_applicable,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0014267920050770044,3.9733330419985577,True,1a5af2e7bf7e8b8f2b52c7762b8e2644dd806e39a80800ef1703db79bfff8cee,restricted_quasiquadratic_round5,0.0011722079943865538,0.25,completed,,,0.01,25,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.0830117389559746e-06,True,frr_round5_stop_ratio_0.95,0.25,not_applicable,25,total_configuration_v2,0.0013279169797897339,0.0012267919955775142,10,median_full_configuration,0.0012451040092855692,0.0012451040092855692,fixed,0.25,coupled_quadratic,diffreach,True,restricted_quasi_window100_round5_selected,0.04298894317792923
True,required,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.01121312502073124,1.7474190829670988,True,fc1a95ebfd753bf72e54eedb69c2671529b2d7d319d8512cd27bb778e50d59a5,restricted_quasiquadratic_round5,0.01101835400913842,4.0,completed,,,0.01,400,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,7.645488949492574e-06,True,frr_round5_stop_ratio_0.95,4.0,not_applicable,400,total_configuration_v2,0.012782582954969257,0.010941832966636866,10,median_full_configuration,0.011087458493420854,0.011087458493420854,fixed,4.0,harmonic,diffreach,True,restricted_quasi_window100_round5_selected,0.3031861786118209
True,required,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.0014744590152986348,1.0562510839663446,True,48c15bb79d99a61ec47dbe29026e9f960be20b3d30fdbad71a3ac3bd644c89ef,restricted_quasiquadratic_round5,0.0013787919888272882,1.0,completed,,,0.01,100,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,4.562491085380316e-06,True,frr_round5_stop_ratio_0.95,1.0,not_applicable,100,total_configuration_v2,0.001631332968827337,0.001407582953106612,10,median_full_configuration,0.0014494999777525663,0.0014494999777525663,fixed,1.0,riccati,diffreach,True,restricted_quasi_window100_round5_selected,0.11389458226420779
True,not_applicable,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.008855916967149824,4.123746500001289,True,4aa17db604b8e9969ead6859e7a02cfef2c3ce48cb41e4486773c920cd28a168,restricted_quasiquadratic_round5,0.008461979043204337,1.0,completed,,,0.005,200,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.3545213732868433e-06,True,frr_round5_stop_ratio_0.95,1.0,not_applicable,200,total_configuration_v2,0.009053417015820742,0.008292416983749717,10,median_full_configuration,0.008538646012311801,0.008538646012311801,fixed,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.14064663658680115
True,not_applicable,True,restricted_quasiquadratic_symbolic_window100,raw_endpoint,selected_native_practical,0.004642750020138919,4.209474542003591,True,76dbbb650f77a4f0b3155713a8f6360c99aa2a0a3ced0e352a726de3f7e18d15,restricted_quasiquadratic_round5,0.004448458494152874,1.0,completed,,,0.01,100,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.2709933798760176e-06,True,frr_round5_stop_ratio_0.95,1.0,not_applicable,100,total_configuration_v2,0.004913249984383583,0.004367209039628506,10,median_full_configuration,0.004529020487098023,0.004529020487098023,fixed,1.0,van_der_pol,diffreach,True,restricted_quasi_window100_round5_selected,0.15133241787615204
True,not_applicable,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.29880666703684255,1.3312849170179106,True,3351b4f622ff2f68a6d3a06f6be8d51ec4e1a0d1cd2717784ebec6f4be87494a,4,0.2957225624995772,0.25,completed,,,0.005,50,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.1500000255182385e-05,True,validated_interval_candidate,0.25,4,50,total_configuration_v2,0.3005582920159213,0.2955427090055309,10,median_full_configuration,0.29706135447486304,0.29706135447486304,fixed,0.25,coupled_quadratic,flowstar,True,root_cause_order4_selected,0.04296770088971223
True,not_applicable,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.15001004200894386,1.276783874956891,True,2f95ed673f2e18e60e17fe3158f9c59c735e57e2871a2ead123bf1971df6eae1,4,0.14867058300296776,0.25,completed,,,0.01,25,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,1.0374991688877344e-05,True,validated_interval_candidate,0.25,4,25,total_configuration_v2,0.14991716697113588,0.14888570900075138,10,median_full_configuration,0.14948170800926164,0.14948170800926164,fixed,0.25,coupled_quadratic,flowstar,True,root_cause_order4_selected,0.042967728064041324
True,required,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.17528566700639203,1.3772556250332855,True,6e7799577a58f6c0c621f7ac5c3fb21d1a487d981c05682f0072962416d757f1,4,0.16096368749276735,4.0,completed,,,0.01,400,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,2.914547803811729e-05,True,validated_interval_candidate,4.0,4,400,total_configuration_v2,0.17160354199586436,0.16996512498008087,10,median_full_configuration,0.17094164551235735,0.17094164551235735,fixed,4.0,harmonic,flowstar,True,root_cause_order4_selected,0.28209137296574344
True,required,True,complete_total_degree_4,raw_endpoint,selected_native_practical,0.07992695801658556,1.9310776659986004,True,026a983a860b0d34bc938f010fd6714059087270c30feb9c66bc6dd785e98d4f,4,0.078575291991001,1.0,completed,,,0.01,100,unavailable,configurations were not launched in isolated peak-memory subprocesses,True,0.0,2.1104002371430397e-05,True,validated_interval_candidate,1.0,4,100,total_configuration_v2,0.08063824998680502,0.07958141702692956,10,median_full_configuration,0.08011050001368858,0.08011050001368858,fixed,1.0,riccati,flowstar,True,root_cause_order4_selected,0.11696258259713109
