boundary,coefficient_hash,control,control_status,failure_boundary,physical_hull,status
11,192539380a0f987b514d9a2a28bfd268c204e9b88d4551dfe6c54db66f144c6a,C4,completed_boundary_164_full_h,,"{""hi"":[[1.7431992869975106,1.996353430400053]],""hi_hex"":[[""0x1.be424ef810987p+0"",""0x1.ff1104b6d35d2p+0""]],""lo"":[[1.4540742084446256,1.6075626403398355]],""lo_hex"":[[""0x1.743e35133a0c9p+0"",""0x1.9b8939a687efep+0""]],""width"":[[0.28912507855288494,0.38879079006021744]]}",recorded
12,53b7718318d597f8bdab1a6fe49460493b55195d0ba46907b555f047a118aff5,C4,completed_boundary_164_full_h,,"{""hi"":[[1.7725458065238915,1.9269544996581087]],""hi_hex"":[[""0x1.c5c58fddae9b5p+0"",""0x1.ed4ce3dce95ffp+0""]],""lo"":[[1.4875885558226563,1.519058015051944]],""lo_hex"":[[""0x1.7cd29a8529849p+0"",""0x1.84e0fc6f5ff14p+0""]],""width"":[[0.28495725070123523,0.4078964846061648]]}",recorded
14,a92359ba8aea4f80059225c2922376ba1a1273e8218296ee1482c0558a468d0b,C4,completed_boundary_164_full_h,,"{""hi"":[[1.8187721269503214,1.8036238108695588]],""hi_hex"":[[""0x1.d19b0cd420c40p+0"",""0x1.cdba4a41f8bdbp+0""]],""lo"":[[1.5419745865954848,1.368038878984245]],""lo_hex"":[[""0x1.8abed8b4b0d38p+0"",""0x1.5e37cbc4e4d25p+0""]],""width"":[[0.2767975403548366,0.4355849318853138]]}",recorded
16,9c6fa03bff5b87c429e12ce18631e8c8b7feaf7380a7961df57bee22f62cd6d4,C4,completed_boundary_164_full_h,,"{""hi"":[[1.8531023674268687,1.6986866528198308]],""hi_hex"":[[""0x1.da64eab03d136p+0"",""0x1.b2dd20e4034c1p+0""]],""lo"":[[1.5838555464429016,1.2457163109037712]],""lo_hex"":[[""0x1.95778e9d8f7b1p+0"",""0x1.3ee7439f6ceb5p+0""]],""width"":[[0.26924682098396713,0.45297034191605956]]}",recorded
17,bd0985f1dcef6fd6ab5ce70552f23aaa4b61fa6353d49f3a2aa43244fb694612,C4,completed_boundary_164_full_h,,"{""hi"":[[1.8714458060770593,1.6369531698997741]],""hi_hex"":[[""0x1.df171285565b2p+0"",""0x1.a30f5ce9cd957p+0""]],""lo"":[[1.6068506482061233,1.176435191409131]],""lo_hex"":[[""0x1.9b5a90679a091p+0"",""0x1.2d2adb50f7395p+0""]],""width"":[[0.264595157870936,0.460517978490643]]}",recorded
70,29ed73329eb9c3727b04c155caedf30cbc8084ad4e36ce4720bb0cbb77e15140,C4,completed_boundary_164_full_h,,"{""hi"":[[1.1614760146817051,-1.0232630955562236]],""hi_hex"":[[""0x1.29567dfa25768p+0"",""-0x1.05f491fa9e21dp+0""]],""lo"":[[1.0905962010201402,-1.0827636936915153]],""lo_hex"":[[""0x1.1731500885f9ep+0"",""-0x1.1530005db3832p+0""]],""width"":[[0.07087981366156493,0.05950059813529163]]}",recorded
100,3aab76974bbb2c30b59d95b1aa6f4f6edfbeaf7864fd2c589ab4fcca07e93469,C4,completed_boundary_164_full_h,,"{""hi"":[[-0.9147259804174117,-2.5672912664703103]],""hi_hex"":[[""-0x1.d456f6b5637dep-1"",""-0x1.489d000e65f09p+1""]],""lo"":[[-1.088297914605448,-2.7184604578438707]],""lo_hex"":[[""-0x1.169ab12f890ffp+0"",""-0x1.5bf68324f44d6p+1""]],""width"":[[0.17357193418803618,0.15116919137356044]]}",recorded
150,327454069a8bb43ffdc592d263945a2611a87e4e36cf9381bcbd5c8fb9c44571,C4,completed_boundary_164_full_h,,"{""hi"":[[-1.8188237158354055,0.5074616819904332]],""hi_hex"":[[""-0x1.d19e6e58b3c79p+0"",""0x1.03d204803e7f0p-1""]],""lo"":[[-2.006736549994946,0.38630094860651804]],""lo_hex"":[[""-0x1.00dcbe46f544dp+1"",""0x1.8b9279d2b70ffp-2""]],""width"":[[0.18791283415954063,0.12116073338391514]]}",recorded
163,e77cdbb6bf2521a654095425430e406758006a1e927dd38242d9cacb73053c71,C4,completed_boundary_164_full_h,,"{""hi"":[[-1.5942099369825813,0.7136492863401767]],""hi_hex"":[[""-0x1.981e24764c647p+0"",""0x1.6d6370734a230p-1""]],""lo"":[[-1.8250147564390322,0.5823329326483951]],""lo_hex"":[[""-0x1.d3342ac59f802p+0"",""0x1.2a278aca379e1p-1""]],""width"":[[0.23080481945645093,0.13131635369178152]]}",recorded
164,95237c40075796054a33df6b6509633708bf40fdb465ac7941e25d90b1d29271,C4,completed_boundary_164_full_h,,"{""hi"":[[-1.5701529768971973,0.7315703940369155]],""hi_hex"":[[""-0x1.91f58ba57d91dp+0"",""0x1.7690650a38847p-1""]],""lo"":[[-1.8054182327608146,0.5951805182699397]],""lo_hex"":[[""-0x1.ce2fe3a94f500p+0"",""0x1.30bb803a5f16ep-1""]],""width"":[[0.23526525586361724,0.1363898757669758]]}",recorded
1,bd76ac655f5f53f6826617bad2a723f8da8a47b26bca37e505bc8340d4e3d07c,L2,completed_boundary_164_full_h,,"{""hi"":[[1.4303351402636648,2.4293180943742962]],""hi_hex"":[[""0x1.6e2a7199c083fp+0"",""0x1.36f3e53375962p+1""]],""lo"":[[1.1292444674417055,2.3026725680895725]],""lo_hex"":[[""0x1.21162a58d9df3p+0"",""0x1.26bdf986aba77p+1""]],""width"":[[0.30109067282195934,0.1266455262847237]]}",recorded
5,31919c5172073f3941f822149bae098b3bb2c5e55509336d975e6d76e32882bb,L2,completed_boundary_164_full_h,,"{""hi"":[[1.5752357212539894,2.2860314805015562]],""hi_hex"":[[""0x1.9342a5f246e01p+0"",""0x1.249cadf730b90p+1""]],""lo"":[[1.2736438258022338,2.031153807193233]],""lo_hex"":[[""0x1.460d859292aa9p+0"",""0x1.03fcd9138539cp+1""]],""width"":[[0.3015918954517556,0.25487767330832334]]}",recorded
7,2fddf5704d8f8bfce503e91bec7e36e856c846e6dd23defef8b13a0c3940ca1f,L2,completed_boundary_164_full_h,,"{""hi"":[[1.6393662801987667,2.1941542476189446]],""hi_hex"":[[""0x1.a3ad822f9e6eap+0"",""0x1.18da0bdff390bp+1""]],""lo"":[[1.3405574059718155,1.8846505005243623]],""lo_hex"":[[""0x1.572ec5290f3e3p+0"",""0x1.e278748824651p+0""]],""width"":[[0.29880887422695124,0.3095037470945823]]}",recorded
8,5c4e3e5e8a7524d5a975833f49be7a7600e183a745435d2a64d473a88850391f,L2,completed_boundary_164_full_h,,"{""hi"":[[1.6631076719157767,2.154734779991579]],""hi_hex"":[[""0x1.a9c16ca49ade9p+0"",""0x1.13ce5969cf0d1p+1""]],""lo"":[[1.3658982257599115,1.8258740607384292]],""lo_hex"":[[""0x1.5dab81914da17p+0"",""0x1.d36c7b817c7c4p+0""]],""width"":[[0.2972094461558652,0.32886071925314964]]}",recorded
10,b3c56f9b26d3f4b6fddc96654f16225b9ffbd618ee120bcdafdc156d2b40ee73,L2,completed_boundary_164_full_h,,"{""hi"":[[1.715090346346405,2.0567700593745704]],""hi_hex"":[[""0x1.b71029333e3d4p+0"",""0x1.07443dc633efep+1""]],""lo"":[[1.4226160336150466,1.6878826616732097]],""lo_hex"":[[""0x1.6c30907b24511p+0"",""0x1.b01913ff5f32cp+0""]],""width"":[[0.29247431273135827,0.3688873977013607]]}",recorded
11,192539380a0f987b514d9a2a28bfd268c204e9b88d4551dfe6c54db66f144c6a,L2,completed_boundary_164_full_h,,"{""hi"":[[1.7431992869975106,1.996353430400053]],""hi_hex"":[[""0x1.be424ef810987p+0"",""0x1.ff1104b6d35d2p+0""]],""lo"":[[1.4540742084446256,1.6075626403398355]],""lo_hex"":[[""0x1.743e35133a0c9p+0"",""0x1.9b8939a687efep+0""]],""width"":[[0.28912507855288494,0.38879079006021744]]}",recorded
12,8cbca1625938914819a31350a883b5a411fb91e1078e9f963697db2d290f3d5a,L2,completed_boundary_164_full_h,,"{""hi"":[[1.7725458065238915,1.9269544996581085]],""hi_hex"":[[""0x1.c5c58fddae9b5p+0"",""0x1.ed4ce3dce95fep+0""]],""lo"":[[1.4875885558226563,1.519058015051944]],""lo_hex"":[[""0x1.7cd29a8529849p+0"",""0x1.84e0fc6f5ff14p+0""]],""width"":[[0.28495725070123523,0.40789648460616457]]}",recorded
14,ed69eda6ec0de6c823d595ace392df60852855db40de742fc2c639820c57ba18,L2,completed_boundary_164_full_h,,"{""hi"":[[1.8187721269503214,1.8036238108695588]],""hi_hex"":[[""0x1.d19b0cd420c40p+0"",""0x1.cdba4a41f8bdbp+0""]],""lo"":[[1.5419745865954848,1.368038878984245]],""lo_hex"":[[""0x1.8abed8b4b0d38p+0"",""0x1.5e37cbc4e4d25p+0""]],""width"":[[0.2767975403548366,0.4355849318853138]]}",recorded
16,abd74a9748475cd1928f094487d926e85d84f1ce0ff360c16a3f52c597c90683,L2,completed_boundary_164_full_h,,"{""hi"":[[1.8531023674268687,1.6986866528198308]],""hi_hex"":[[""0x1.da64eab03d136p+0"",""0x1.b2dd20e4034c1p+0""]],""lo"":[[1.5838555464429016,1.2457163109037712]],""lo_hex"":[[""0x1.95778e9d8f7b1p+0"",""0x1.3ee7439f6ceb5p+0""]],""width"":[[0.26924682098396713,0.45297034191605956]]}",recorded
17,3bdf7a60d46361d83270df3494e2c236c3ef70751a075afbdc910b2b340dc286,L2,completed_boundary_164_full_h,,"{""hi"":[[1.8714458060770593,1.6369531698997741]],""hi_hex"":[[""0x1.df171285565b2p+0"",""0x1.a30f5ce9cd957p+0""]],""lo"":[[1.6068506482061233,1.176435191409131]],""lo_hex"":[[""0x1.9b5a90679a091p+0"",""0x1.2d2adb50f7395p+0""]],""width"":[[0.264595157870936,0.460517978490643]]}",recorded
70,cef0fe85f00807abe50c52516ae607a8e627b70a7c4aa8d04cd5ba10b53f0b77,L2,completed_boundary_164_full_h,,"{""hi"":[[1.1614760146817051,-1.0232630955562236]],""hi_hex"":[[""0x1.29567dfa25768p+0"",""-0x1.05f491fa9e21dp+0""]],""lo"":[[1.0905962010201402,-1.082763693691515]],""lo_hex"":[[""0x1.1731500885f9ep+0"",""-0x1.1530005db3831p+0""]],""width"":[[0.07087981366156493,0.059500598135291405]]}",recorded
100,f12f148494aebc41595dee9cac631fd6db2e49ee24afcd4efde9bd497ea49846,L2,completed_boundary_164_full_h,,"{""hi"":[[-0.9147259997101723,-2.567291274831156]],""hi_hex"":[[""-0x1.d456f75b1cb89p-1"",""-0x1.489d00205a5d0p+1""]],""lo"":[[-1.0882978959545324,-2.7184604492167628]],""lo_hex"":[[""-0x1.169ab0df6e29fp+0"",""-0x1.5bf683126d7fep+1""]],""width"":[[0.1735718962443601,0.15116917438560673]]}",recorded
150,86c164e766f1a2a7e3a110a7380a0e51c5435cd42d4327478cc1d027743d31d6,L2,completed_boundary_164_full_h,,"{""hi"":[[-1.8188421489610664,0.507424164369213]],""hi_hex"":[[""-0x1.d19fa39a5fc7bp+0"",""0x1.03cd199e54f0ap-1""]],""lo"":[[-2.0067179083025115,0.3863386092299345]],""lo_hex"":[[""-0x1.00dc21e63a78ep+1"",""0x1.8b9c592f4c7c3p-2""]],""width"":[[0.18787575934144507,0.12108555513927849]]}",recorded
163,0dad2e704c118c6a6b521c5c4b5de3e98a4253bdf69b2ddf5b48f89d27da6e19,L2,completed_boundary_164_full_h,,"{""hi"":[[-1.5942463821076238,0.7135843947402312]],""hi_hex"":[[""-0x1.982087e8eb270p+0"",""0x1.6d5aef0cb0c44p-1""]],""lo"":[[-1.8249780191520053,0.5823981720547101]],""lo_hex"":[[""-0x1.d331c26c2d3ddp+0"",""0x1.2a3017dc73485p-1""]],""width"":[[0.2307316370443815,0.13118622268552105]]}",recorded
164,6a3d407d8a3eec299f6684d866dc9cee2c15c21974ef11ed5683f384f4467cb8,L2,completed_boundary_164_full_h,,"{""hi"":[[-1.5701916471570396,0.7315014951324813]],""hi_hex"":[[""-0x1.91f8146cfdea5p+0"",""0x1.76875d2d23627p-1""]],""lo"":[[-1.8053792585110655,0.5952497976982707]],""lo_hex"":[[""-0x1.ce2d55c82e879p+0"",""0x1.30c494dc211eep-1""]],""width"":[[0.23518761135402588,0.13625169743421062]]}",recorded
