boundary,coefficient_hash,control,control_status,failure_boundary,physical_hull,status
11,39aec907bfda022796821bd74c125ee2655346bc9c6574541b64cbee14a828bd,C1,completed_boundary_164_full_h,,"{""hi"":[[1.7431992869975106,1.996353430400053]],""hi_hex"":[[""0x1.be424ef810987p+0"",""0x1.ff1104b6d35d2p+0""]],""lo"":[[1.4540742084446256,1.6075626403398355]],""lo_hex"":[[""0x1.743e35133a0c9p+0"",""0x1.9b8939a687efep+0""]],""width"":[[0.28912507855288494,0.38879079006021744]]}",recorded
12,1ee9f2c003fbd1421e395fdd4355f3d31516d5c7fa354150813a18157efef71e,C1,completed_boundary_164_full_h,,"{""hi"":[[1.7725458065238915,1.9269544996581085]],""hi_hex"":[[""0x1.c5c58fddae9b5p+0"",""0x1.ed4ce3dce95fep+0""]],""lo"":[[1.4875885558226563,1.519058015051944]],""lo_hex"":[[""0x1.7cd29a8529849p+0"",""0x1.84e0fc6f5ff14p+0""]],""width"":[[0.28495725070123523,0.40789648460616457]]}",recorded
14,3b0b8fb4d5bc7fb7325bcf1c7f203910bd3769f04cdabaa58c6597572befa9d1,C1,completed_boundary_164_full_h,,"{""hi"":[[1.8187721269503214,1.8036238108695586]],""hi_hex"":[[""0x1.d19b0cd420c40p+0"",""0x1.cdba4a41f8bdap+0""]],""lo"":[[1.5419745865954848,1.368038878984245]],""lo_hex"":[[""0x1.8abed8b4b0d38p+0"",""0x1.5e37cbc4e4d25p+0""]],""width"":[[0.2767975403548366,0.43558493188531355]]}",recorded
16,155a240e421b82abfb3e9b19e4c694401652f65aa2ac001a30ec57d4de06f751,C1,completed_boundary_164_full_h,,"{""hi"":[[1.8531023674268687,1.6986866528198308]],""hi_hex"":[[""0x1.da64eab03d136p+0"",""0x1.b2dd20e4034c1p+0""]],""lo"":[[1.5838555464429016,1.2457163109037712]],""lo_hex"":[[""0x1.95778e9d8f7b1p+0"",""0x1.3ee7439f6ceb5p+0""]],""width"":[[0.26924682098396713,0.45297034191605956]]}",recorded
17,44316a8f6dc8b0ca78f8698e58adc4f940a4cba550a79904dd9be9e725cc9b67,C1,completed_boundary_164_full_h,,"{""hi"":[[1.8714458060770593,1.636953169899774]],""hi_hex"":[[""0x1.df171285565b2p+0"",""0x1.a30f5ce9cd956p+0""]],""lo"":[[1.6068506482061233,1.1764351914091313]],""lo_hex"":[[""0x1.9b5a90679a091p+0"",""0x1.2d2adb50f7396p+0""]],""width"":[[0.264595157870936,0.4605179784906426]]}",recorded
70,00beec8834f1d94ab7fe1f35c0063ea976b17fa011735aaa3ba57b7728193582,C1,completed_boundary_164_full_h,,"{""hi"":[[1.1614760146817034,-1.0232630955562252]],""hi_hex"":[[""0x1.29567dfa25760p+0"",""-0x1.05f491fa9e224p+0""]],""lo"":[[1.090596201020142,-1.0827636936915137]],""lo_hex"":[[""0x1.1731500885fa6p+0"",""-0x1.1530005db382bp+0""]],""width"":[[0.07087981366156137,0.05950059813528852]]}",recorded
100,0bab251edf23864a79e7bc282972bbafbe004c007c50a89785529e2617c585f3,C1,completed_boundary_164_full_h,,"{""hi"":[[-0.9147263471568082,-2.567291405365509]],""hi_hex"":[[""-0x1.d4570303a7f41p-1"",""-0x1.489d0138ac620p+1""]],""lo"":[[-1.0882975606385064,-2.7184603108771417]],""lo_hex"":[[""-0x1.169aab3f424b5p+0"",""-0x1.5bf681e9587d1p+1""]],""width"":[[0.17357121348169813,0.15116890551163253]]}",recorded
150,bf764937da57ad33608d6101f3aeb71cc253fc3cf36392b8cf415e03ddd2122e,C1,completed_boundary_164_full_h,,"{""hi"":[[-1.8214096098508767,0.5025623395400596]],""hi_hex"":[[""-0x1.d247e672edfc9p+0"",""0x1.014fd9d90d362p-1""]],""lo"":[[-2.00411031786178,0.39125515488141244]],""lo_hex"":[[""-0x1.0086afd86570fp+1"",""0x1.90a530fa6da6bp-2""]],""width"":[[0.1827007080109031,0.11130718465864714]]}",recorded
163,2540648bbe4e79abf4a3a7defa77780b1e3fef9b83eff74468b2c9d2e1f00072,C1,completed_boundary_164_full_h,,"{""hi"":[[-1.5990093769088085,0.70571136969569]],""hi_hex"":[[""-0x1.9958adb3d2177p+0"",""0x1.6953002a84470p-1""]],""lo"":[[-1.8201484166721447,0.5903681561038]],""lo_hex"":[[""-0x1.d1f53f2379195p+0"",""0x1.2e44bc26219c1p-1""]],""width"":[[0.22113903976333615,0.11534321359189004]]}",recorded
164,6785fb7b30c79a0dd34ab92fbf5e88335a7946ad20f581195585bcf0b7731e2c,C1,completed_boundary_164_full_h,,"{""hi"":[[-1.575225523195558,0.7231069397663626]],""hi_hex"":[[""-0x1.9341fad9f30cap+0"",""0x1.723b12a39d455p-1""]],""lo"":[[-1.8002754685856792,0.6037480319548972]],""lo_hex"":[[""-0x1.ccdeda655dd76p+0"",""0x1.351e76488a923p-1""]],""width"":[[0.22504994539012113,0.11935890781146541]]}",recorded
