operator,event_count,self_cpu_time_us,most_common_input_shapes,most_common_input_shapes_count
aten::as_strided,53122,32603.882999937025,"[[48],[],[],[]]",20216
aten::empty_strided,22936,134180.92700001958,"[[],[],[],[],[],[]]",22936
aten::fill_,21281,105582.61999997706,"[[48,1],[]]",12160
aten::empty_like,20781,49025.483999963195,"[[48,1],[],[],[],[],[]]",12168
aten::unsqueeze,16567,25093.59700005173,"[[48],[]]",10360
aten::full_like,16160,43401.388000068895,"[[48,1],[],[],[],[],[],[]]",10114
aten::nextafter,16158,141085.34499997983,"[[48,1],[48,1]]",10114
aten::mul,12669,114444.28399999501,"[[48,1],[48,1]]",5919
aten::abs,10986,60030.30000000057,[[48]],4558
aten::empty,10374,49993.16499999439,"[[],[],[],[],[],[]]",10374
aten::resize_,10026,34486.12000000676,"[[0],[],[]]",10026
aten::pow,8069,81256.46100001803,"[[48],[]]",8064
aten::cat,7147,88709.86700001024,"[[],[]]",7147
aten::stack,6916,51891.36399999752,"[[],[]]",6916
aten::le,6708,65664.49200001225,"[[48,1],[48,1]]",2674
aten::select,6347,20579.351000029696,"[[48,6],[],[]]",2226
aten::all,5740,82656.411000024,"[[48,1]]",2771
aten::slice,5174,17416.32099999267,"[[48,6],[],[],[],[]]",2266
aten::view,4802,6903.814999996327,"[[96],[]]",2456
aten::min,4639,99128.53700000704,"[[2,48],[],[]]",2456
aten::max,4639,91559.18299999586,"[[2,48],[],[]]",2456
aten::add,3699,34944.54499998993,"[[48,1],[48,1],[]]",2457
aten::div,3369,32669.783000007184,"[[48,1],[]]",3354
aten::zero_,3249,9972.150000003048,"[[48,1]]",1937
aten::zeros_like,3150,8036.050000005827,"[[48,1],[],[],[],[],[]]",1937
aten::copy_,3094,16831.574999992692,"[[48,5],[48,5],[]]",1520
aten::maximum,2895,28235.789000019584,"[[48],[48]]",1138
aten::index_select,2592,30773.17699999879,"[[48,4],[],[84]]",1680
aten::minimum,2545,23977.737000013884,"[[48],[48]]",1138
aten::__and__,2542,4137.107000011554,"[[48],[48]]",1149
aten::bitwise_and,2542,25383.174999990755,"[[48],[48]]",1149
aten::ge,2493,28755.902000011207,"[[48],[]]",1138
aten::clone,2117,8433.192000005845,"[[48,1],[]]",1190
aten::where,1803,21400.499999987085,"[[48],[48],[48]]",1576
aten::neg,1797,16429.787000015363,"[[48,1]]",1781
aten::ones_like,1431,3369.037999995133,"[[48],[],[],[],[],[]]",1138
aten::sub,502,6615.509000004133,"[[48,1],[48,1],[]]",247
aten::eq,425,3904.016999998336,"[[48,1],[48,1]]",195
aten::sum,416,6444.0849999944985,"[[48,1,84],[],[],[]]",260
aten::isfinite,304,2510.5739999934235,"[[48,1]]",195
aten::ne,304,3338.6419999972254,"[[48,1],[]]",195
aten::lift_fresh,288,50.84099999968021,[[]],271
aten::item,253,274.74599999826023,[[]],253
aten::_local_scalar_dense,253,225.86200000316603,[[]],253
aten::ones,206,845.5360000025685,"[[],[],[],[],[]]",206
aten::arange,206,1073.0649999991074,"[[],[],[],[],[]]",103
aten::expand,110,485.37699999944743,"[[],[],[]]",31
aten::zeros,99,342.07800000441785,"[[],[],[],[],[]]",99
aten::to,80,143.31399999946007,"[[],[],[],[],[],[]]",31
aten::expand_as,78,136.62100000128703,"[[1,1,455],[48,1,455]]",26
aten::scatter_add_,78,1156.9410000070202,"[[48,1,84],[],[48,1,455],[48,1,455]]",39
aten::_to_copy,78,476.7570000003325,"[[],[],[],[],[],[],[]]",46
aten::reshape,46,54.1230000029318,"[[1],[]]",15
aten::index_put_,41,114.59399999817833,"[[48,84],[],[48,21],[]]",12
aten::_index_put_impl_,41,736.2180000045337,"[[48,84],[],[48,21],[],[]]",12
aten::nonzero,35,1228.327999992296,[[84]],30
aten::t,35,46.84100000048056,"[[1,1]]",15
aten::transpose,35,87.3570000003092,"[[1,1],[],[]]",15
aten::set_,35,110.80300000216812,"[[1,1],[1,1]]",15
aten::bincount,15,384.16200000101526,"[[455],[],[]]",15
aten::rsub,15,73.20900000160327,"[[84],[],[]]",15
aten::__iand__,12,26.151000000682416,"[[48,5],[48,5]]",10
aten::bitwise_and_,12,117.35899999958428,"[[48,5],[48,5]]",10
aten::__ior__,7,13.546000000003914,"[[56],[56]]",5
aten::bitwise_or_,7,64.23399999894536,"[[56],[56]]",5
aten::index,5,106.46500000078231,"[[48,5,56],[]]",5
aten::squeeze,5,22.029999999329448,"[[48,5,1],[]]",5
aten::is_nonzero,3,6.3059999998658895,[[]],3
aten::isclose,2,56.6609999999996,"[[48],[48],[],[],[]]",2
aten::bmm,2,79.67799999983981,"[[48,5,84],[48,84,84]]",2
aten::detach_,1,2.5709999999962747,[[5]],1
aten::broadcast_tensors,1,1.429999999993015,[[]],1
