run_id,mode,order,validation_mode,cutoff_threshold,target_remainder_radius,segment_index,status,validation_attempts,t_lo,t_hi,h,x_lo,x_hi,y_lo,y_hi,width_x,width_y,width_sum,step_rejections,next_h,message
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,0,validated,1,0,0.050000000000000003,0.050000000000000003,1.2152071951955128,1.5176153335711062,2.1485604094032946,2.3525702072651384,0.30240813837559344,0.20400979786184381,0.50641793623743725,1,0.075000000000000011,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,1,validated,1,0.050000000000000003,0.087500000000000008,0.037500000000000006,1.2940907821797081,1.602604140580038,1.9765450078425291,2.25663129662549,0.3085133584003299,0.28008628878296093,0.58859964718329083,1,0.056250000000000008,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,2,validated,1,0.087500000000000008,0.14375000000000002,0.056250000000000008,1.400808900465073,1.7214140757009866,1.6960238550598341,2.0804304478307931,0.32060517523591359,0.38440659277095901,0.7050117680068726,0,0.084375000000000006,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,3,validated,1,0.14375000000000002,0.18593750000000003,0.042187500000000003,1.4695692082111649,1.8041777680050013,1.4741614145070541,1.9298101352368435,0.33460855979383641,0.45564872072978946,0.79025728052362587,1,0.063281250000000011,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,4,validated,1,0.18593750000000003,0.21757812500000004,0.031640625000000006,1.5145921053900442,1.86230588513424,1.3053392308464027,1.8101398533545907,0.34771377974419582,0.50480062250818802,0.85251440225238384,1,0.047460937500000008,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,5,validated,1,0.21757812500000004,0.26503906250000003,0.047460937500000008,1.5728840984759089,1.9415215761028117,1.056751244259561,1.6228209488179823,0.3686374776269028,0.56606970455842132,0.93470718218532411,0,0.071191406250000006,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,6,validated,1,0.26503906250000003,0.30063476562500002,0.035595703125000003,1.6085049357131274,1.9955230954012277,0.87593803610417875,1.4814082579572703,0.38701815968810038,0.60547022185309152,0.9924883815411919,1,0.053393554687500004,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,7,validated,1,0.30063476562500002,0.32733154296875,0.026696777343750002,1.6308161166031423,2.032985809132148,0.74519810120065888,1.3765703035046692,0.4021696925290057,0.63137220230401037,1.0335418948330162,1,0.040045166015625001,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,8,validated,1,0.32733154296875,0.36737670898437502,0.040045166015625001,1.6583629444235841,2.0835477761124759,0.560951668612509,1.2215498988261329,0.42518483168889176,0.66059823021362385,1.0857830619025157,0,0.060067749023437506,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,9,validated,1,0.36737670898437502,0.39741058349609376,0.030033874511718753,1.6740190811665918,2.1177731370669952,0.43165223217566367,1.1096490575874869,0.4437540559004034,0.67799682541182316,1.1217508813122266,1,0.045050811767578129,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,10,validated,1,0.39741058349609376,0.4424613952636719,0.045050811767578129,1.6909977508190093,2.1625170905139188,0.25565301071390606,0.9483808165374793,0.47151933969490956,0.69272780582357329,1.1642471455184829,0,0.06757621765136719,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,11,validated,1,0.4424613952636719,0.47624950408935551,0.033788108825683595,1.6984002042960031,2.1918161138902219,0.13635533257781648,0.83509996939256415,0.49341590959421877,0.69874463681474763,1.1921605464089664,1,0.050682163238525396,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,12,validated,1,0.47624950408935551,0.50159058570861825,0.025341081619262698,1.7012227014347021,2.2115279891390038,0.054052206084556235,0.75468833934083024,0.51030528770430172,0.70063613325627405,1.2109414209605758,1,0.038011622428894047,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,13,validated,1,0.50159058570861825,0.53960220813751225,0.038011622428894047,1.7019739966566547,2.2371649023503046,-0.056718728367045813,0.6401704394983242,0.53519090569364991,0.69688916786537003,1.2320800735590201,0,0.057017433643341067,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,14,validated,1,0.53960220813751225,0.56811092495918281,0.028508716821670534,1.6997006253052171,2.2538383779664848,-0.13127669385905286,0.56008184435531261,0.55413775266126764,0.69135853821436544,1.2454962908756331,1,0.042763075232505804,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,15,validated,1,0.56811092495918281,0.61087400019168858,0.042763075232505804,1.6927527464057217,2.2745407950849743,-0.22877136661918884,0.44754901552041693,0.5817880486792526,0.67632038213960577,1.2581084308188584,0,0.064144612848758706,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,16,validated,1,0.61087400019168858,0.64294630661606789,0.032072306424379353,1.6847496284051593,2.28725787517075,-0.29254570671116387,0.36995093688428682,0.60250824676559067,0.66249664359545068,1.2650048903610414,1,0.048108459636569026,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,17,validated,1,0.64294630661606789,0.66700053643435242,0.024054229818284513,1.6773677771640023,2.2953140441349476,-0.33555045073452883,0.31537652834941476,0.61794626697094523,0.65092697908394359,1.2688732460548888,1,0.036081344727426773,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,18,validated,1,0.66700053643435242,0.70308188116177917,0.036081344727426773,1.6645383466778256,2.3049580745896767,-0.39229794433744575,0.23831253595132382,0.64041972791185109,0.63061048028876954,1.2710302082006206,0,0.054122017091140159,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,19,validated,1,0.70308188116177917,0.7301428897073492,0.02706100854557008,1.6535451936352872,2.3105333531178829,-0.42974617000241072,0.18454152117082537,0.6569881594825957,0.61428769117323612,1.2712758506558317,1,0.040591512818355116,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,20,validated,1,0.7301428897073492,0.77073440252570435,0.040591512818355116,1.635306154048747,2.316259661738242,-0.47794577626954776,0.10910492509308789,0.68095350768949503,0.5870507013626356,1.2680042090521306,0,0.060887269227532674,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,21,validated,1,0.77073440252570435,0.80117803713947067,0.030443634613766337,1.6203333288833823,2.3187169442616593,-0.50894992378742099,0.056805725794148665,0.69838361537827698,0.56575564958156965,1.2641392649598466,1,0.045665451920649504,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,22,validated,1,0.80117803713947067,0.82401076309979537,0.022832725960324752,1.6084821229054891,2.3195786949549877,-0.52960713331211173,0.019768722555851912,0.71109657204949861,0.54937585586796367,1.2604724279174624,1,0.03424908894048713,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,23,validated,1,0.82401076309979537,0.85825985204028254,0.03424908894048713,1.5898418687952418,2.3193712744249697,-0.55841049396268838,-0.03111948486716867,0.7295294056297279,0.52729100909551974,1.2568204147252477,0,0.051373633410730694,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,24,validated,1,0.85825985204028254,0.88394666874564787,0.025686816705365347,1.5752211259667219,2.318137043258885,-0.57961831213640391,-0.064712785399479583,0.74291591729216311,0.51490552673692436,1.2578214440290876,1,0.038530225058048019,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,25,validated,1,0.88394666874564787,0.92247689380369591,0.038530225058048019,1.5522818696146505,2.3147760145512128,-0.61057020436328702,-0.10905478474809094,0.76249414493656231,0.50151541961519608,1.2640095645517584,0,0.057795337587072032,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,26,validated,1,0.92247689380369591,0.95137456259723197,0.028897668793536016,1.5343000373097404,2.3112097509718139,-0.63357112552060979,-0.13755726601306986,0.77690971366207351,0.49601385950753996,1.2729235731696136,1,0.043346503190304024,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,27,validated,1,0.95137456259723197,0.97304781419238395,0.021673251595152012,1.520378773839534,2.308023477210376,-0.65078371534487356,-0.15647664130223154,0.78764470337084203,0.49430707404264201,1.2819517774134841,1,0.032509877392728016,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,28,validated,1,0.97304781419238395,1.0055576915851119,0.032509877392728016,1.498800799535021,2.3025229998042103,-0.67628358978657321,-0.18174901901535659,0.80372220026918928,0.49453457077121665,1.298256771040406,0,0.048764816089092028,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,29,validated,1,1.0055576915851119,1.0299400996296579,0.024382408044546014,1.4820730440272432,2.2978935371565479,-0.69552219101316748,-0.19803038451166033,0.81582049312930471,0.49749180650150715,1.313312299630812,1,0.036573612066819021,
flowstar_style_o6_target_adaptive_order_8,flowstar_style,6,target_remainder,,0.0001,30,validated,1,1.0299400996296579,1.0665137116964769,0.036573612066819021,1.45610267339577,2.2902614109094852,-0.72421331775091458,-0.21925239885833347,0.83415873751371516,0.5049609188925811,1.3391196564062962,0,0.054860418100228528,
