schema,step,time,time_hex,both_completed,qualification,flowstar_margin_y,torch_margin_y,eligibility,sample_count
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,1,0.01,0x1.47ae147ae147bp-7,True,empirical_or_build_qualified_schedule_controlled,8.262412285399594e-05,8.110169058223875e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,2,0.02,0x1.47ae147ae147bp-6,True,empirical_or_build_qualified_schedule_controlled,8.19745567473216e-05,8.047873278435237e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,3,0.03,0x1.eb851eb851eb8p-6,True,empirical_or_build_qualified_schedule_controlled,8.129232666436814e-05,7.986451942850653e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,4,0.04,0x1.47ae147ae147bp-5,True,empirical_or_build_qualified_schedule_controlled,8.060770573151685e-05,7.926185990781473e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,5,0.05,0x1.999999999999ap-5,True,empirical_or_build_qualified_schedule_controlled,7.993471882263215e-05,7.867639381040802e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,6,0.06,0x1.eb851eb851eb8p-5,True,empirical_or_build_qualified_schedule_controlled,7.927660124981706e-05,7.811265959433293e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,7,0.07,0x1.1eb851eb851ecp-4,True,empirical_or_build_qualified_schedule_controlled,7.864127819364151e-05,7.757513196634854e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,8,0.08,0x1.47ae147ae147bp-4,True,empirical_or_build_qualified_schedule_controlled,7.803462376187923e-05,7.706801034654078e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,9,0.09,0x1.70a3d70a3d70ap-4,True,empirical_or_build_qualified_schedule_controlled,7.74584663817522e-05,7.659584134741017e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,10,0.1,0x1.999999999999ap-4,True,empirical_or_build_qualified_schedule_controlled,7.691758606513636e-05,7.616266673416577e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,11,0.11,0x1.c28f5c28f5c29p-4,True,empirical_or_build_qualified_schedule_controlled,7.641649448552755e-05,7.57712317304543e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,12,0.12,0x1.eb851eb851eb8p-4,True,empirical_or_build_qualified_schedule_controlled,7.596267049127e-05,7.533966413167911e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,13,0.13,0x1.0a3d70a3d70a4p-3,True,empirical_or_build_qualified_schedule_controlled,7.555989282793104e-05,7.493986877029435e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,14,0.14,0x1.1eb851eb851ecp-3,True,empirical_or_build_qualified_schedule_controlled,7.518320121956186e-05,7.459338721151488e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,15,0.15,0x1.3333333333333p-3,True,empirical_or_build_qualified_schedule_controlled,7.485134874184547e-05,7.430294834807479e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,16,0.16,0x1.47ae147ae147bp-3,True,empirical_or_build_qualified_schedule_controlled,7.457439184094224e-05,7.407081851880426e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,17,0.17,0x1.5c28f5c28f5c3p-3,True,empirical_or_build_qualified_schedule_controlled,7.435626663464652e-05,7.38985133041965e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,18,0.18,0x1.70a3d70a3d70ap-3,True,empirical_or_build_qualified_schedule_controlled,7.41982919721544e-05,7.378693508488492e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,19,0.19,0x1.851eb851eb852p-3,True,empirical_or_build_qualified_schedule_controlled,7.410152868205362e-05,7.373634984321263e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,20,0.2,0x1.999999999999ap-3,True,empirical_or_build_qualified_schedule_controlled,7.405994006401688e-05,7.374578556318536e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,21,0.21,0x1.ae147ae147ae1p-3,True,empirical_or_build_qualified_schedule_controlled,7.397855022465721e-05,7.377161758118283e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,22,0.22,0x1.c28f5c28f5c29p-3,True,empirical_or_build_qualified_schedule_controlled,7.390449435547793e-05,7.382480795511349e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,23,0.23,0x1.d70a3d70a3d71p-3,True,empirical_or_build_qualified_schedule_controlled,7.389056682650073e-05,7.393179571877343e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,24,0.24,0x1.eb851eb851eb8p-3,True,empirical_or_build_qualified_schedule_controlled,7.394347474033376e-05,7.409090387118087e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,25,0.25,0x1.0000000000000p-2,True,empirical_or_build_qualified_schedule_controlled,7.406135448449565e-05,7.429987622794982e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,26,0.26,0x1.0a3d70a3d70a4p-2,True,empirical_or_build_qualified_schedule_controlled,7.424141663005956e-05,7.455635493315818e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,27,0.27,0x1.147ae147ae148p-2,True,empirical_or_build_qualified_schedule_controlled,7.448108136013371e-05,7.485746234326695e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,28,0.28,0x1.1eb851eb851ecp-2,True,empirical_or_build_qualified_schedule_controlled,7.47598701399651e-05,7.520002728211706e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,29,0.29,0x1.28f5c28f5c28fp-2,True,empirical_or_build_qualified_schedule_controlled,7.508679131702148e-05,7.55808832505746e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,30,0.3,0x1.3333333333333p-2,True,empirical_or_build_qualified_schedule_controlled,7.54625153144876e-05,7.599627407224994e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,31,0.31,0x1.3d70a3d70a3d7p-2,True,empirical_or_build_qualified_schedule_controlled,7.588279665091519e-05,7.644174497561576e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,32,0.32,0x1.47ae147ae147bp-2,True,empirical_or_build_qualified_schedule_controlled,7.631756593473261e-05,7.690452455952245e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,33,0.33,0x1.51eb851eb851fp-2,True,empirical_or_build_qualified_schedule_controlled,7.678553763887128e-05,7.733706358752357e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,34,0.34,0x1.5c28f5c28f5c3p-2,True,empirical_or_build_qualified_schedule_controlled,7.72617218185752e-05,7.779036849075234e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,35,0.35000000000000003,0x1.6666666666667p-2,True,empirical_or_build_qualified_schedule_controlled,7.775771800299717e-05,7.826901805679832e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,36,0.36,0x1.70a3d70a3d70ap-2,True,empirical_or_build_qualified_schedule_controlled,7.826967690726381e-05,7.87631128449993e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,37,0.37,0x1.7ae147ae147aep-2,True,empirical_or_build_qualified_schedule_controlled,7.879634861544594e-05,7.927361904865981e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,38,0.38,0x1.851eb851eb852p-2,True,empirical_or_build_qualified_schedule_controlled,7.933768330755065e-05,7.979775985896177e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,39,0.39,0x1.8f5c28f5c28f6p-2,True,empirical_or_build_qualified_schedule_controlled,7.989061993069861e-05,8.03316507443657e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,40,0.4,0x1.999999999999ap-2,True,empirical_or_build_qualified_schedule_controlled,8.045207328221411e-05,8.087125263328752e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,41,0.41000000000000003,0x1.a3d70a3d70a3ep-2,True,empirical_or_build_qualified_schedule_controlled,8.10189106569327e-05,8.141404307868927e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,42,0.42,0x1.ae147ae147ae1p-2,True,empirical_or_build_qualified_schedule_controlled,8.15869918417687e-05,8.195701273651487e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,43,0.43,0x1.b851eb851eb85p-2,True,empirical_or_build_qualified_schedule_controlled,8.215549125713175e-05,8.249751009505199e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,44,0.44,0x1.c28f5c28f5c29p-2,True,empirical_or_build_qualified_schedule_controlled,8.272172574552944e-05,8.303312222028422e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,45,0.45,0x1.ccccccccccccdp-2,True,empirical_or_build_qualified_schedule_controlled,8.328407253789809e-05,8.351633413534552e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,46,0.46,0x1.d70a3d70a3d71p-2,True,empirical_or_build_qualified_schedule_controlled,8.384062353223288e-05,8.393737423451682e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,47,0.47000000000000003,0x1.e147ae147ae15p-2,True,empirical_or_build_qualified_schedule_controlled,8.438965473331449e-05,8.433473485828827e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,48,0.48,0x1.eb851eb851eb8p-2,True,empirical_or_build_qualified_schedule_controlled,8.492964301563758e-05,8.468911548501073e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,49,0.49,0x1.f5c28f5c28f5cp-2,True,empirical_or_build_qualified_schedule_controlled,8.545925184570241e-05,8.504325212296699e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,50,0.5,0x1.0000000000000p-1,True,empirical_or_build_qualified_schedule_controlled,8.59773325471596e-05,8.539663938783874e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,51,0.51,0x1.051eb851eb852p-1,True,empirical_or_build_qualified_schedule_controlled,8.648294961255976e-05,8.574815476083654e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,52,0.52,0x1.0a3d70a3d70a4p-1,True,empirical_or_build_qualified_schedule_controlled,8.697531135184018e-05,8.609659021165014e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,53,0.53,0x1.0f5c28f5c28f6p-1,True,empirical_or_build_qualified_schedule_controlled,8.745378319607737e-05,8.644104564647246e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,54,0.54,0x1.147ae147ae148p-1,True,empirical_or_build_qualified_schedule_controlled,8.791787595512002e-05,8.678090466171095e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,55,0.55,0x1.199999999999ap-1,True,empirical_or_build_qualified_schedule_controlled,8.836723383030548e-05,8.711216271016156e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,56,0.56,0x1.1eb851eb851ecp-1,True,empirical_or_build_qualified_schedule_controlled,8.880162232179432e-05,8.743569429553485e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,57,0.5700000000000001,0x1.23d70a3d70a3ep-1,True,empirical_or_build_qualified_schedule_controlled,8.922091651379983e-05,8.775295413961906e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,58,0.58,0x1.28f5c28f5c28fp-1,True,empirical_or_build_qualified_schedule_controlled,8.962362353079331e-05,8.80580909335399e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,59,0.59,0x1.2e147ae147ae1p-1,True,empirical_or_build_qualified_schedule_controlled,9.000600985744321e-05,8.83559013068826e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,60,0.6,0x1.3333333333333p-1,True,empirical_or_build_qualified_schedule_controlled,9.037415367191242e-05,8.864713223475943e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,61,0.61,0x1.3851eb851eb85p-1,True,empirical_or_build_qualified_schedule_controlled,9.072821994585923e-05,8.893149270572739e-05,common_prefix_only_flowstar_build_qualification_open,1
flowstar_torch_fixed_schedule_y_margin_figure_row_v1,62,0.62,0x1.3d70a3d70a3d7p-1,True,empirical_or_build_qualified_schedule_controlled,9.10684293325946e-05,8.92087452764005e-05,common_prefix_only_flowstar_build_qualification_open,1
