schema,step,time,category,max_width,max_width_hex,eligibility,sample_count
a4_remainder_source_figure_row_v1,2,0.01,degree_gt4_dropped_polynomial,0.0,0x0.0p+0,same_prestate_native_observer_bit_exact_composition_accounting,1
a4_remainder_source_figure_row_v1,2,0.01,polynomial_times_parameterization_remainder,0.0,0x0.0p+0,same_prestate_native_observer_bit_exact_composition_accounting,1
a4_remainder_source_figure_row_v1,2,0.01,endpoint_remainder_times_parameterization_polynomial,0.0,0x0.0p+0,same_prestate_native_observer_bit_exact_composition_accounting,1
a4_remainder_source_figure_row_v1,2,0.01,remainder_times_remainder,0.0,0x0.0p+0,same_prestate_native_observer_bit_exact_composition_accounting,1
a4_remainder_source_figure_row_v1,2,0.01,outer_endpoint_remainder,0.0018260478231866208,0x1.deaffeb9dffe2p-10,same_prestate_native_observer_bit_exact_composition_accounting,1
a4_remainder_source_figure_row_v1,320,3.19,degree_gt4_dropped_polynomial,2.1828042802002517e-05,0x1.6e36badf55366p-16,same_prestate_native_observer_bit_exact_composition_accounting,1
a4_remainder_source_figure_row_v1,320,3.19,polynomial_times_parameterization_remainder,7.119613927492569,0x1.c7a7c12cae824p+2,same_prestate_native_observer_bit_exact_composition_accounting,1
a4_remainder_source_figure_row_v1,320,3.19,endpoint_remainder_times_parameterization_polynomial,0.0,0x0.0p+0,same_prestate_native_observer_bit_exact_composition_accounting,1
a4_remainder_source_figure_row_v1,320,3.19,remainder_times_remainder,0.2696589696428715,0x1.14217b1ec1bb0p-2,same_prestate_native_observer_bit_exact_composition_accounting,1
a4_remainder_source_figure_row_v1,320,3.19,outer_endpoint_remainder,0.01786912525433395,0x1.24c48b24d4dc6p-6,same_prestate_native_observer_bit_exact_composition_accounting,1
