step,category,operation,calls
981,outside_boundary,aten.lift_fresh.default,558
981,outside_boundary,aten.clone.default,11673
981,outside_boundary,aten.view.default,1389
981,outside_boundary,aten.isnan.default,422
981,outside_boundary,aten.any.default,1148
981,outside_boundary,aten._local_scalar_dense.default,12291
981,outside_boundary,aten.gt.Tensor,526
981,outside_boundary,aten.eq.Scalar,313
981,outside_boundary,aten.all.default,6481
981,outside_boundary,aten.zeros_like.default,2017
981,outside_boundary,aten.add.Tensor,2152
981,outside_boundary,aten.ne.Scalar,1110
981,outside_boundary,aten.ones.default,317
981,outside_boundary,aten.mul.Tensor,7695
981,outside_boundary,aten.zeros.default,133
981,A,aten.lift_fresh.default,10
981,A,aten.sum.dim_IntList,1
981,A,aten.view.default,1444
981,A,aten.empty.memory_format,6
981,A,aten.zeros.default,1
981,A,aten.empty_like.default,1
981,A,aten.select.int,34
981,A,aten.copy_.default,8
981,A,aten.stack.default,2
981,A,aten.clone.default,1534
981,A,aten.le.Tensor,3
981,A,aten.all.default,2863
981,A,aten._local_scalar_dense.default,3046
981,outside_boundary,aten.slice.Tensor,5855
981,outside_boundary,aten.select.int,7464
981,outside_boundary,aten.allclose.default,486
981,outside_boundary,aten.full_like.default,5772
981,outside_boundary,aten.le.Tensor,5721
981,outside_boundary,aten.index_select.default,1744
981,outside_boundary,aten.le.Scalar,607
981,outside_boundary,aten.index.Tensor,12
981,outside_boundary,aten.bitwise_not.default,15
981,outside_boundary,aten.cat.default,638
981,outside_boundary,aten.unique_dim.default,2
981,outside_boundary,aten.expand.default,168
981,outside_boundary,aten.scatter_add_.default,93
981,outside_boundary,aten.ones_like.default,756
981,outside_boundary,aten.max.default,756
981,outside_boundary,aten.detach.default,3034
981,outside_boundary,aten.abs.default,3853
981,outside_boundary,aten.minimum.default,723
981,outside_boundary,aten.maximum.default,941
981,outside_boundary,aten.ge.Scalar,971
981,outside_boundary,aten.bitwise_and.Tensor,987
981,outside_boundary,aten.pow.Tensor_Scalar,9882
981,outside_boundary,aten.stack.default,4806
981,outside_boundary,aten.min.dim,3546
981,outside_boundary,aten.max.dim,3546
981,outside_boundary,aten.where.self,3007
