step,time,channel,flowstar_width,torch_width,absolute_excess,ratio,goal_ratio,absolute_ratio_deviation,within_tolerance
1,0.01,endpoint_x,0.301112793636261,0.30089849698777327,-0.00021429664848771068,0.9992883176901923,0.9992883176901923,0.0,True
1,0.01,endpoint_y,0.12263376681992,0.1213342911693931,-0.0012994756505269045,0.9894036064925323,0.9894036064925323,0.0,True
1,0.01,segment_tube_x,0.32524536254432035,0.32524722193229505,1.8593879747008657e-06,1.0000057168777448,1.0000057168777448,0.0,True
1,0.01,segment_tube_y,0.1494059114443438,0.1494274734969525,2.156205260872568e-05,1.000144318604266,1.000144318604266,0.0,True
100,1.0,endpoint_x,0.07951782806323093,0.08795592352408854,0.008438095460857609,1.1061157688329692,1.1061157688329692,0.0,True
100,1.0,endpoint_y,0.1115769155531654,0.11429217453027352,0.002715258977108115,1.0243353113289309,1.0243353113289309,0.0,True
100,1.0,segment_tube_x,0.08375257163162497,0.09222151766116604,0.008468946029541069,1.1011186386824114,1.1011186386824114,0.0,True
100,1.0,segment_tube_y,0.11966699301819556,0.12856523859517788,0.008898245576982322,1.0743583953482423,1.0743583953482423,0.0,True
300,3.0,endpoint_x,0.13850532673418248,0.18725958974064205,0.048754263006459575,1.352002801307621,1.352002801307621,0.0,True
300,3.0,endpoint_y,0.10885167146482555,0.15586425555328454,0.047012584088458986,1.431895840052862,1.431895840052862,0.0,True
300,3.0,segment_tube_x,0.16392087538948363,0.21273503964284135,0.04881416425335772,1.29779101738795,1.29779101738795,0.0,True
300,3.0,segment_tube_y,0.1256837925656762,0.17276779494517935,0.047084002379503165,1.3746227052696502,1.3746227052696502,0.0,True
632,6.32,endpoint_x,0.15307555562376207,0.9165121028676759,0.7634365472439139,5.987318478989109,5.987318478989109,0.0,True
632,6.32,endpoint_y,0.12229562798699911,1.5898587282667287,1.4675631002797296,13.000127268946539,13.000127268946539,0.0,True
632,6.32,segment_tube_x,0.1783272999656937,0.9420414425127686,0.7637141425470748,5.282654101161162,5.282654101161162,0.0,True
632,6.32,segment_tube_y,0.13982130901719003,1.6080698024787519,1.4682484934615618,11.500892201495919,11.500892201495919,0.0,True
