plant,step,exact_time,view,coordinate,reference,reference_data_origin,observer,gpu_lo_hex,gpu_hi_hex,reference_lo_hex,reference_hi_hex,gpu_width,reference_width,width_ratio,lower_abs_diff,upper_abs_diff,center_abs_diff,near_zero_reference,width_ratio_over_1p10
van_der_pol,1,5764607523034235/576460752303423488,endpoint,x,strict_cpu,REUSED_FRESH_ENDPOINT_REPAIRED_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.1f984f925a89cp+0,0x1.6c9fdee2dbe69p+0,0x1.1f984f925a89cp+0,0x1.6c9fdee2dbe69p+0,0.3008966037317464,0.3008966037317464,1.0,0.0,0.0,1.1102230246251565e-16,False,False
van_der_pol,1,5764607523034235/576460752303423488,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.1f984f925a89cp+0,0x1.6c9fdee2dbe69p+0,0x1.1f9139c11952cp+0,0x1.6ca6f42eb6092p+0,0.3008966037317464,0.30111279655531,0.9992820204719401,0.00010811194189486173,0.0001080808816686929,1.553011297339424e-08,False,False
van_der_pol,1,5764607523034235/576460752303423488,endpoint,y,strict_cpu,REUSED_FRESH_ENDPOINT_REPAIRED_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.27fa5da2c1e03p+1,0x1.37816e2704e76p+1,0x1.27fa5da2c1e03p+1,0x1.37816e2704e76p+1,0.1213093419847211,0.1213093419847211,1.0,0.0,0.0,2.220446049250313e-16,False,False
van_der_pol,1,5764607523034235/576460752303423488,endpoint,y,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.27fa5da2c1e03p+1,0x1.37816e2704e76p+1,0x1.27e49c599da3bp+1,0x1.379715620a179p+1,0.1213093419847211,0.12263405715285014,0.9891978199295981,0.0006639105926957711,0.0006608045754332714,1.553008631027808e-06,False,False
van_der_pol,1,5764607523034235/576460752303423488,tube,x,strict_cpu,REUSED_FRESH_ENDPOINT_REPAIRED_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.196c5ced547aap+0,0x1.6cafa40f2bdc5p+0,0x1.196c5ced547aap+0,0x1.6cafa40f2bdc5p+0,0.3252453286762662,0.3252453286762662,1.0,0.0,0.0,1.1102230246251565e-16,False,False
van_der_pol,1,5764607523034235/576460752303423488,tube,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.196c5ced547aap+0,0x1.6cafa40f2bdc5p+0,0x1.196c5c5ba103ep+0,0x1.6cafa41b783ebp+0,0.3252453286762662,0.3252453654633698,0.9999998868943035,3.392366476617781e-08,2.86343881938933e-09,1.553011308441654e-08,False,False
van_der_pol,1,5764607523034235/576460752303423488,tube,y,strict_cpu,REUSED_FRESH_ENDPOINT_REPAIRED_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.27e48c98e4616p+1,0x1.3b042bced2990p+1,0x1.27e48c98e4616p+1,0x1.3b042bced2990p+1,0.14940252431227652,0.14940252431227652,1.0,0.0,0.0,0.0,False,False
van_der_pol,1,5764607523034235/576460752303423488,tube,y,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.27e48c98e4616p+1,0x1.3b042bced2990p+1,0x1.27e470252ef99p+1,0x1.3b042e3468f49p+1,0.14940252431227652,0.14940620177727482,0.9999753861288584,3.3917411301764844e-06,2.857238681208685e-07,1.553008631027808e-06,False,False
van_der_pol,2,5764607523034235/288230376151711744,endpoint,x,strict_cpu,REUSED_FRESH_ENDPOINT_REPAIRED_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.257de3d3fbb34p+0,0x1.72ce9569ac57dp+0,0x1.257de3d3fbb34p+0,0x1.72ce9569ac57dp+0,0.30201253799954686,0.30201253799954686,1.0,0.0,0.0,1.1102230246251565e-16,False,False
van_der_pol,2,5764607523034235/288230376151711744,endpoint,x,stock_flowstar,REUSED_MATCHED_REFERENCE_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.257de3d3fbb34p+0,0x1.72ce9569ac57dp+0,0x1.2576bdffd38fdp+0,0x1.72d53b47047bcp+0,0.30201253799954686,0.3022230433279416,0.9993034769087203,0.00010906629189633144,0.00010143903649839636,3.8136276988565143e-06,False,False
van_der_pol,2,5764607523034235/288230376151711744,endpoint,y,strict_cpu,REUSED_FRESH_ENDPOINT_REPAIRED_COMPLETE_OBJECT,CURRENT_STRICT_CORRECTED_CPU_RANGE_ON_COMPLETE_SAVED_OBJECT,0x1.22f5b334b3c64p+1,0x1.354a0956ff302p+1,0x1.22f5b334b3c64p+1,0x1.354a0956ff302p+1,0.14319874453106163,0.14319874453106163,1.0,0.0,0.0,0.0,False,False
