stage,aten_event_count,aten_item_count,local_scalar_dense_count,host_scalar_sync_estimate,host_scalar_sync_percent,aten_to_count,aten_to_percent
sin_tm,95316,26,26,26,33.76623376623377,26,32.5
affine_composition,7413,4,4,4,5.194805194805195,15,18.75
remainder_picard_round_01,254,4,4,4,5.194805194805195,0,0.0
remainder_picard_round_02,277,4,4,4,5.194805194805195,0,0.0
remainder_picard_round_03,277,4,4,4,5.194805194805195,0,0.0
remainder_picard_round_04,277,4,4,4,5.194805194805195,0,0.0
remainder_picard_round_05,277,4,4,4,5.194805194805195,0,0.0
remainder_picard_round_06,277,4,4,4,5.194805194805195,0,0.0
remainder_picard_round_07,277,4,4,4,5.194805194805195,0,0.0
remainder_picard_round_08,277,4,4,4,5.194805194805195,0,0.0
remainder_picard_round_09,277,4,4,4,5.194805194805195,0,0.0
remainder_picard_round_10,277,4,4,4,5.194805194805195,0,0.0
full_q3_step,260,2,2,2,2.5974025974025974,3,3.75
initial_remainder_picard,213,2,2,2,2.5974025974025974,0,0.0
final_acceptance_property_decision,3457,1,1,1,1.2987012987012987,2,2.5
unscoped,4988,1,1,1,1.2987012987012987,2,2.5
composed_acceptance_property_decision,81,1,1,1,1.2987012987012987,0,0.0
tora_rhs,3865,0,0,0,0.0,26,32.5
composed_exact_endpoint_substitution,4247,0,0,0,0.0,2,2.5
endpoint_projection,4451,0,0,0,0.0,2,2.5
exact_endpoint_substitution,4226,0,0,0,0.0,2,2.5
natural_polynomial_range_picard_roundoff,86,0,0,0,0.0,0,0.0
natural_polynomial_range_tube,98,0,0,0,0.0,0,0.0
polynomial_picard_k1,210,0,0,0,0.0,0,0.0
polynomial_picard_k2,210,0,0,0,0.0,0,0.0
