operator,event_count,self_cpu_time_us,most_common_input_shapes,most_common_input_shapes_count
aten::as_strided,26920,18368.942999990642,"[[48],[],[],[]]",9560
aten::empty_strided,6744,26904.232000004027,"[[],[],[],[],[],[]]",6744
aten::fill_,6535,25415.110000003828,"[[48,84],[]]",1780
aten::empty_like,6310,15244.469999994675,"[[48,84],[],[],[],[],[]]",1711
aten::unsqueeze,6218,12608.496999999155,"[[48],[]]",4864
aten::abs,6186,29828.078000003665,[[48]],2158
aten::empty,5816,18004.045000002072,"[[],[],[],[],[],[]]",5816
aten::resize_,5568,14313.918999995189,"[[0],[],[]]",5568
aten::full_like,4734,13483.775999988244,"[[48,84],[],[],[],[],[],[]]",1632
aten::nextafter,4732,32906.9259999997,"[[48,84],[48,84]]",1632
aten::select,4371,14584.6100000146,"[[48,5,56],[],[]]",1681
aten::mul,4268,29413.076000003304,"[[48,84],[48,84]]",1632
aten::pow,3773,30312.263000002047,"[[48],[]]",3768
aten::view,3403,4496.893000002932,"[[96],[]]",1166
aten::slice,3138,10838.153000001099,"[[48,6],[],[],[],[]]",1066
aten::cat,2992,30162.7130000039,"[[],[]]",2992
aten::stack,2925,19012.978999998453,"[[],[]]",2925
aten::min,1848,32238.857000000404,"[[2,48],[],[]]",1166
aten::max,1848,28771.577999992493,"[[2,48],[],[]]",1166
aten::add,1827,14049.691999999939,"[[48,5],[48,5],[]]",960
aten::maximum,1515,12313.921999997488,"[[48],[48]]",538
aten::expand,1502,3640.530000001323,"[[1,84],[],[]]",816
aten::index_select,1392,18234.58700000106,"[[48,4],[],[84]]",816
aten::gather,1392,14369.883999995633,"[[48,4],[],[48,84],[],[48,84]]",816
aten::copy_,1372,7883.680999999857,"[[48,5],[48,5],[]]",918
aten::le,1304,12359.893000005257,"[[48],[]]",538
aten::__and__,1296,2173.8909999985754,"[[48],[48]]",552
aten::bitwise_and,1296,10502.575999998402,"[[48],[48]]",552
aten::ge,1293,13258.183999999786,"[[48],[]]",538
aten::minimum,1165,9019.270000001754,"[[48],[48]]",538
aten::zero_,983,2698.802000000681,[[48]],539
aten::where,945,10145.746999998886,"[[48],[48],[48]]",718
aten::all,887,11731.528999999602,[[84]],408
aten::zeros_like,884,2747.330000000657,"[[48],[],[],[],[],[]]",539
aten::ones_like,653,1709.1020000036988,"[[48],[],[],[],[],[]]",538
aten::sub,476,3699.7879999994934,"[[48,1],[48,1],[]]",221
aten::sum,416,5249.781000000668,"[[48,1,84],[],[],[]]",260
aten::clone,395,1676.0370000003768,"[[48,6],[]]",205
aten::eq,327,2241.178000001083,"[[48,1],[48,1]]",195
aten::isfinite,304,2380.5820000019194,"[[48,1]]",195
aten::ne,304,2829.222000001159,"[[48,1],[]]",195
aten::arange,206,1174.2099999998354,"[[],[],[],[],[]]",103
aten::neg,185,1274.7470000023968,"[[48,1]]",169
aten::lift_fresh,112,28.154000000258748,[[]],95
aten::ones,106,716.1990000016085,"[[],[],[],[],[]]",106
aten::zeros,99,602.2169999994185,"[[],[],[],[],[]]",99
aten::to,80,224.53300000057789,"[[],[],[],[],[],[]]",31
aten::div,80,688.4009999998998,"[[48,1],[]]",65
aten::expand_as,78,129.9370000002873,"[[1,1,455],[48,1,455]]",26
aten::scatter_add_,78,990.2509999991034,"[[48,1,84],[],[48,1,455],[48,1,455]]",39
aten::_to_copy,78,360.22199999900477,"[[],[],[],[],[],[],[]]",46
aten::item,77,121.28100000004997,[[]],77
aten::_local_scalar_dense,77,152.6629999994675,[[]],77
aten::reshape,46,99.80700000142679,"[[1],[]]",15
aten::index_put_,41,129.0580000008922,"[[48,84],[],[48,21],[]]",12
aten::_index_put_impl_,41,660.8569999987958,"[[48,84],[],[48,21],[],[]]",12
aten::nonzero,35,1102.793999999296,[[84]],30
aten::t,35,51.03600000042934,"[[1,1]]",15
aten::transpose,35,95.28900000045542,"[[1,1],[],[]]",15
aten::set_,35,125.50300000014249,"[[1,1],[1,1]]",15
aten::bincount,15,345.9359999996341,"[[455],[],[]]",15
aten::rsub,15,69.38000000019383,"[[84],[],[]]",15
aten::__iand__,12,23.30399999997735,"[[48,5],[48,5]]",10
aten::bitwise_and_,12,97.12399999993204,"[[48,5],[48,5]]",10
aten::__ior__,7,21.20600000007971,"[[56],[56]]",5
aten::bitwise_or_,7,59.50500000015427,"[[56],[56]]",5
aten::index,5,102.2179999994114,"[[48,5,56],[]]",5
aten::squeeze,5,22.135000000474975,"[[48,5,1],[]]",5
aten::is_nonzero,3,6.429999999818392,[[]],3
aten::isclose,2,51.82500000000073,"[[48],[48],[],[],[]]",2
aten::bmm,2,262.8189999999013,"[[48,5,84],[48,84,84]]",2
aten::detach_,1,1.9539999999979045,[[5]],1
aten::broadcast_tensors,1,2.691999999980908,[[]],1
