action,continue,cutoff_contribution,cutoff_lower,cutoff_upper,dimension,lower,lower_margin,order,phase,precision_bits,reason,return_code,round,separately_exposed,source_line,state,step,step_lower,step_upper,stop_ratio,subset,trace_index,uncertainty_contribution,upper,upper_margin,variant,width,width_ratio
,,,,,,,9.9674699981249987e-05,,candidate_minus_picard_margins,53,,,,,1097,0,1,,,,,9,,,7.4674668706248412e-05,flowstar_root_cause_patch,,
,,embedded_in_picard_remainder,,,,,,,cutoff_and_uncertainty_accounting,53,,,,0,1104,0,1,,,,,10,embedded_in_picard_remainder,,,flowstar_root_cause_patch,,
,,,,,,-3.2530001875001326e-07,,,first_picard_image_remainder_with_int_difference,53,,,-1,,1108,0,1,,,,1,11,,2.5325331293751586e-05,,flowstar_root_cause_patch,2.5650631312501601e-05,
,,,,,,-3.2530001875001326e-07,,,accepted_initial_remainder,53,,,-1,,1136,0,1,,,,1,12,,2.5325331293751586e-05,,flowstar_root_cause_patch,2.5650631312501601e-05,
,,,,,,-5.0000000000000016e-05,,,cache_leaf_truncation_replayed,53,,,-1,,2022,-1,1,,,,-1,13,,5.0012500000000016e-05,,flowstar_root_cause_patch,0.00010001250000000003,
,,,,,,-3.2530001875001326e-07,,,refinement_input_remainder,53,,,0,,1167,0,1,,,,-1,14,,2.5325331293751586e-05,,flowstar_root_cause_patch,2.5650631312501601e-05,
,,,,,,-1.2571367667714871e-07,,,refinement_output_remainder,53,,,0,,1176,0,1,,,,1,15,,2.5175776339391416e-05,,flowstar_root_cause_patch,2.5301490016068565e-05,
,1,,,,,,,,refinement_decision,53,,,0,,1186,0,1,,,0.98999999999999999,1,16,,,,flowstar_root_cause_patch,,0.98638858856222889
,,,,,,-5.0000000000000016e-05,,,cache_leaf_truncation_replayed,53,,,-1,,2022,-1,1,,,,-1,17,,5.0012500000000016e-05,,flowstar_root_cause_patch,0.00010001250000000003,
,,,,,,-1.2571367667714871e-07,,,refinement_input_remainder,53,,,1,,1167,0,1,,,,-1,18,,2.5175776339391416e-05,,flowstar_root_cause_patch,2.5301490016068565e-05,
,,,,,,-1.2531417887032208e-07,,,refinement_output_remainder,53,,,1,,1176,0,1,,,,1,19,,2.5175476929585965e-05,,flowstar_root_cause_patch,2.5300791108456286e-05,
,0,,,,,,,,refinement_decision,53,,,1,,1186,0,1,,,0.98999999999999999,1,20,,,,flowstar_root_cause_patch,,0.99997237682002793
,,,,,,-1.2531417887032208e-07,,,final_native_returned_remainder,53,,,-1,,1314,0,1,,,,1,21,,2.5175476929585965e-05,,flowstar_root_cause_patch,2.5300791108456286e-05,
,,,,,,,,,advance_return,53,success,1,,,1321,,1,,,,,22,,,,flowstar_root_cause_patch,,
