analytic_contained,candidate_remainder_radius,cir_validation_passed,endpoint_contained_in_tube,endpoint_lower,endpoint_upper,exact_lower,exact_upper,h,native_validation_passed,order,precision_bits,tube_lower,tube_upper,upper_margin_vs_exact,variant
False,0.0001,True,True,-2.501255132095153e-05,0.10010008767642774,0.0,0.1001001001001001,0.01,True,2,53,-2.5025051320951888e-05,0.10010008767642774,-1.242367236864439e-08,flowstar_stock
False,0.0001,True,True,-2.5012551320947693e-05,0.10010008767642772,0.0,0.1001001001001001,0.01,True,2,256,-2.5025051320947693e-05,0.10010008767642772,-1.2423672382522177e-08,flowstar_stock
True,0.0001,True,True,-2.531280001875384e-05,0.10010033783129378,0.0,0.1001001001001001,0.01,True,2,53,-2.53253000187542e-05,0.10010033783129378,2.377311936752058e-07,flowstar_full_picard_revalidated
True,0.0001,True,True,-2.511281417887415e-05,0.10010018797692961,0.0,0.1001001001001001,0.01,True,2,53,-2.512531417887451e-05,0.10010018797692961,8.7876829507616e-08,flowstar_root_cause_patch
