backend_lane,h_attempted,segment_index,t_before,total_wall_s
hybrid_dense_core,0.1,0,0.0,0.5480749262496829
hybrid_dense_core,0.013750000000000002,1,0.0125,0.23685350734740496
hybrid_dense_core,0.015125000000000003,2,0.026250000000000002,0.3102580476552248
hybrid_dense_core,0.016637500000000003,3,0.04137500000000001,0.3442307701334357
hybrid_dense_core,0.018301250000000005,4,0.05801250000000001,0.3412439152598381
hybrid_dense_core,0.020131375000000007,5,0.07631375000000001,0.34358828142285347
hybrid_dense_core,0.02214451250000001,6,0.09644512500000002,0.4682370200753212
hybrid_dense_core,0.012179481875000005,7,0.10751738125000003,0.3510011825710535
hybrid_dense_core,0.013397430062500007,8,0.11969686312500004,0.3600459471344948
hybrid_dense_core,0.014737173068750008,9,0.13309429318750005,0.3508375212550163
hybrid_dense_core,0.01621089037562501,10,0.14783146625625004,0.4126900192350149
hybrid_dense_core,0.01783197941318751,11,0.16404235663187505,0.36686400417238474
hybrid_dense_core,0.019615177354506262,12,0.18187433604506256,0.36831590719521046
hybrid_dense_core,0.02157669508995689,13,0.20148951339956883,0.49672022461891174
hybrid_dense_core,0.01186718229947629,14,0.2122778609445473,0.36706003174185753
hybrid_dense_core,0.01305390052942392,15,0.22414504324402357,0.3656095089390874
hybrid_dense_core,0.014359290582366313,16,0.2371989437734475,0.3712150389328599
hybrid_dense_core,0.015795219640602945,17,0.2515582343558138,0.36752615589648485
hybrid_dense_core,0.017374741604663242,18,0.26735345399641675,0.3793664798140526
hybrid_dense_core,0.01911221576512957,19,0.28472819560108,0.3675411529839039
hybrid_dense_core,0.02102343734164253,20,0.30384041136620954,0.37650033738464117
hybrid_dense_core,0.023125781075806782,21,0.32486384870785207,0.48692683782428503
hybrid_dense_core,0.012719179591693731,22,0.33642673924575545,0.3775836108252406
hybrid_dense_core,0.013991097550863106,23,0.34914591883744917,0.3672640956938267
hybrid_dense_core,0.015390207305949418,24,0.36313701638831225,0.3657343853265047
hybrid_dense_core,0.016929228036544362,25,0.37852722369426167,0.36628764402121305
hybrid_dense_core,0.0186221508401988,26,0.395456451730806,0.37209854554384947
hybrid_dense_core,0.02048436592421868,27,0.4140786025710048,0.3668101755902171
hybrid_dense_core,0.02253280251664055,28,0.4345629684952235,0.3720055529847741
hybrid_dense_core,0.02478608276830461,29,0.45709577101186405,0.3753874199464917
hybrid_dense_core,0.01811814621983132,30,0.4818818537801687,0.3814459778368473
