order,flowstar_status,flowstar_validated,flowstar_runtime_s,flowstar_segments,flowstar_last_width_sum,pytorch_status,pytorch_validated,pytorch_failed_reason,pytorch_candidate_final_width_sum,width_ratio_flowstar_over_pytorch,skip_reason
4,not_completed,false,0.00089599999999999999,0,,failed,false,Picard residual not subset of target remainder,22.605899863920154,,
6,not_completed,false,0.003885,0,,failed,false,Picard residual not subset of target remainder,22.605899863920154,,
8,not_completed,false,0.01438,0,,failed,false,Picard residual not subset of target remainder,22.605899863920154,,
