step,time,decision,minimum_target_margin,model_remainder_width_max,parameterization_remainder_width_max,scale_max,inverse_scale_max,endpoint_width_max,tube_width_max,composition_ledger_width_max
1,0.0,accept,0.009093346275216829,0.0,0.0,0.018750000000000044,160.0000000000034,0.0378402421773496,0.062460370612370086,0.0018132653627703113
2,0.01,accept,0.009084589894738126,0.001813303460219406,0.0,0.018906567641114428,123.29475684927701,0.03819639614475934,0.06254207821425828,0.21196254226793956
3,0.02,accept,0.009076803900299614,0.0018308170583439527,0.21196254226793956,0.019058004064151243,100.11812432639194,0.03854019942653908,0.06636534754492995,0.3358490338576976
4,0.03,accept,0.009069994316333277,0.001846389882482204,0.3358490338576976,0.019204335926634626,84.18494260991477,0.038871821282682406,0.07228896751977176,0.4181780796844218
5,0.04,accept,0.009064171607469872,0.0018600098695537369,0.4181780796844218,0.019345613761865256,72.58100907542388,0.039191500609233154,0.07807200947693671,0.4776890421659057
6,0.05,accept,0.009059338182481023,0.0018716560765693919,0.4776890421659057,0.01948191242645869,63.77035128493378,0.04012131061525048,0.08369936693951985,0.5233835069394386
7,0.06,accept,0.009055491426053015,0.0018813235970337185,0.5233835069394386,0.019721595245525643,56.86663091925398,0.04446233506736119,0.08915690247282226,0.5601228322820682
8,0.07,accept,0.009052625935963456,0.0018890164180790149,0.5601228322820682,0.021843483036596327,51.32255519322095,0.04870822684702025,0.09443151767402203,0.590762374119621
9,0.08,accept,0.009050731570481195,0.0018947467717338419,0.590762374119621,0.02391594680689903,50.42081757040377,0.05284927400760875,0.09951125124240745,0.617088734723363
10,0.09,accept,0.009049794418259092,0.0018985349505784323,0.617088734723363,0.02593430059740519,50.135295438631,0.056878127841131,0.10438702484851614,0.6402763003418102
11,0.1,accept,0.009049796880710104,0.0019004087847898994,0.6402763003418102,0.027894192855086392,49.8629328370657,0.06078489344282012,0.10904773643245114,0.6611280585336787
12,0.11,accept,0.009050717885384288,0.0019004034772864913,0.6611280585336787,0.029791626961939675,49.60246953294797,0.06456158587986494,0.11348471351401579,0.6802109415377673
13,0.12,accept,0.009052533090924955,0.001898561176918554,0.6802109415377673,0.03162297776541255,49.35266177557695,0.06820130023415927,0.11769090159138096,0.6979359234924162
14,0.13,accept,0.009055214612610883,0.001894930568549007,0.6979359234924162,0.033385003901033106,49.112285594855955,0.07169791541505166,0.12166048813830543,0.7146075123996933
15,0.14,accept,0.009058732830427522,0.0018895674220071948,0.7146075123996933,0.035074856944053164,48.88014053402411,0.07504610436556902,0.12538893269518403,0.7304554757343144
16,0.15,accept,0.00906305550955717,0.001882530976026686,0.7304554757343144,0.036690084927392855,48.655053497349684,0.07824133847879211,0.1288729657138794,0.7456557643021149
17,0.16,accept,0.009068148023463087,0.001873885697381727,0.7456557643021149,0.0382286300342501,48.43588273324374,0.08127987839322226,0.13211053835668563,0.7603448285287617
